score,task,tokens,positives,prevalence,correct_mean,hallucination_mean,hallucination_minus_correct,mann_whitney_p,auroc,separability,auprc_high,auprc_low,auroc_ci_low,auroc_ci_high,difference_ci_low,difference_ci_high
recovery,__all__,6866,415,0.06044276143314885,0.021780459135060503,0.024580702690564723,0.00280024355550422,1.3365157695743479e-13,0.6082266128535223,0.6082266128535223,0.1404664024369293,0.051323964502738545,0.5178855175782365,0.6592744873877769,0.0008947781206257155,0.004074266218910478
recovery,QA,6866,415,0.06044276143314885,0.021780459135060503,0.024580702690564723,0.00280024355550422,1.3365157695743479e-13,0.6082266128535223,0.6082266128535223,0.1404664024369293,0.051323964502738545,0.5178855175782365,0.6592744873877769,0.0008947781206257155,0.004074266218910478
edge_recovery,__all__,6866,415,0.06044276143314885,0.021160898990022492,0.02428549822778946,0.003124599237766968,1.682640199909742e-13,0.6077787510295406,0.6077787510295406,0.14095944478586575,0.05088556025952113,0.4953433753085039,0.6558958101233583,0.0005726383503931955,0.004497703117638172
edge_recovery,QA,6866,415,0.06044276143314885,0.021160898990022492,0.02428549822778946,0.003124599237766968,1.682640199909742e-13,0.6077787510295406,0.6077787510295406,0.14095944478586575,0.05088556025952113,0.4953433753085039,0.6558958101233583,0.0005726383503931955,0.004497703117638172
diagonal_recovery,__all__,6866,415,0.06044276143314885,0.02901703843431424,0.028805255108928104,-0.0002117833253861348,0.01707197504037744,0.4651282233257943,0.5348717766742057,0.054706387871782614,0.0674564203565031,0.4455576173297462,0.48360228079616224,-0.0003214327111668705,-0.00010549394552515679
diagonal_recovery,QA,6866,415,0.06044276143314885,0.02901703843431424,0.028805255108928104,-0.0002117833253861348,0.01707197504037744,0.4651282233257943,0.5348717766742057,0.054706387871782614,0.0674564203565031,0.4455576173297462,0.48360228079616224,-0.0003214327111668705,-0.00010549394552515679
message_gain,__all__,6866,415,0.06044276143314885,2.9693424489179926e-05,-5.792103797556406e-06,-3.5485528286736334e-05,1.2779140991528691e-17,0.375059811404975,0.624940188595025,0.049002714974103585,0.14363322206836981,0.324434269289912,0.45610705517204003,-4.936622028857991e-05,-1.0441265833464772e-05
message_gain,QA,6866,415,0.06044276143314885,2.9693424489179926e-05,-5.792103797556406e-06,-3.5485528286736334e-05,1.2779140991528691e-17,0.375059811404975,0.624940188595025,0.049002714974103585,0.14363322206836981,0.324434269289912,0.45610705517204003,-4.936622028857991e-05,-1.0441265833464772e-05
layer_order_gain,__all__,6866,415,0.06044276143314885,0.0002353130789236022,0.00017103740092681114,-6.427567799679106e-05,1.535439415201927e-11,0.4013932648902851,0.5986067351097148,0.04949456930519283,0.11043873022018928,0.30645656444567254,0.5125578247558918,-0.0001203833034480829,-1.6922203067516103e-06
layer_order_gain,QA,6866,415,0.06044276143314885,0.0002353130789236022,0.00017103740092681114,-6.427567799679106e-05,1.535439415201927e-11,0.4013932648902851,0.5986067351097148,0.04949456930519283,0.11043873022018928,0.30645656444567254,0.5125578247558918,-0.0001203833034480829,-1.6922203067516103e-06
head_identity_gain,__all__,6866,415,0.06044276143314885,1.6976692809802286e-05,1.3283561600978115e-05,-3.6931312088241707e-06,0.03447120846106112,0.4690850209083116,0.5309149790916884,0.06592987325161313,0.08126717124421692,0.4372548139290855,0.5151470301132438,-8.911079004654527e-06,2.0128555278682676e-06
head_identity_gain,QA,6866,415,0.06044276143314885,1.6976692809802286e-05,1.3283561600978115e-05,-3.6931312088241707e-06,0.03447120846106112,0.4690850209083116,0.5309149790916884,0.06592987325161313,0.08126717124421692,0.4372548139290855,0.5151470301132438,-8.911079004654527e-06,2.0128555278682676e-06
endpoint_gain,__all__,6866,415,0.06044276143314885,4.314198002041338e-06,4.590071558234204e-06,2.7587355619286557e-07,0.07177218556298574,0.5263248623077024,0.5263248623077024,0.07160422586416433,0.0568753908966471,0.4543966834113233,0.572548234162509,-2.931965325221431e-07,6.961853422980015e-07
endpoint_gain,QA,6866,415,0.06044276143314885,4.314198002041338e-06,4.590071558234204e-06,2.7587355619286557e-07,0.07177218556298574,0.5263248623077024,0.5263248623077024,0.07160422586416433,0.0568753908966471,0.4543966834113233,0.572548234162509,-2.931965325221431e-07,6.961853422980015e-07
layer_head_gain,__all__,6866,415,0.06044276143314885,-0.0009192717029900629,-0.0009213015964501594,-2.029893460096452e-06,0.9935380423691286,0.5001185956039318,0.5001185956039318,0.05980871892835107,0.0638650359537265,0.4302852434556026,0.5702896161714077,-4.237399884353166e-05,3.430270515412051e-05
layer_head_gain,QA,6866,415,0.06044276143314885,-0.0009192717029900629,-0.0009213015964501594,-2.029893460096452e-06,0.9935380423691286,0.5001185956039318,0.5001185956039318,0.05980871892835107,0.0638650359537265,0.4302852434556026,0.5702896161714077,-4.237399884353166e-05,3.430270515412051e-05
full_channel_gain,__all__,6866,415,0.06044276143314885,-0.0015121722365656605,-0.0015477107265537762,-3.5538489988115726e-05,0.16214710086754802,0.47956233553030914,0.5204376644696909,0.05739864143183379,0.07180708748383739,0.39100155126246466,0.5850516947388662,-0.00013786602608558118,7.257239422382066e-05
full_channel_gain,QA,6866,415,0.06044276143314885,-0.0015121722365656605,-0.0015477107265537762,-3.5538489988115726e-05,0.16214710086754802,0.47956233553030914,0.5204376644696909,0.05739864143183379,0.07180708748383739,0.39100155126246466,0.5850516947388662,-0.00013786602608558118,7.257239422382066e-05
