representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,0,1e-06,576,288,576,288,6,True,27,5.8934931651483025,34.06009912595553,44.25047371704802,-10.190374591092484,-68.31954560378249,-88.63645431005479,0.1602842716878876,0.4512353510200742,0.06666666666666667,0.023362223769148475,0.999977289184618,0.4779188368055556,5.544192754363982e-61,0.0,0.0
provenance,Data2txt,0,0,0.0001,576,288,576,288,6,True,26,7.058480913891359,21.551026923388505,30.734157221547505,-9.183130298159,-43.317860684120795,-61.59895047308838,0.17706020489977145,0.5365302670012098,0.06666666666666667,0.023362223769148472,0.9999997714729343,0.42727322048611116,3.0247178705599236e-48,0.0,0.0
provenance,Data2txt,0,0,0.001,576,288,576,288,6,True,29,8.572641036415824,15.628242227615393,24.006227388110087,-8.377985160494688,-31.47817270592768,-48.1332513422159,0.19968843208664794,0.611518891946885,0.06666666666666667,0.02336222376914847,0.9999999758474604,0.3451063368055556,3.854469982514503e-31,0.0,0.0
provenance,Data2txt,0,1,1e-06,576,288,576,288,6,True,23,11.002464041379582,34.20086651088642,44.944232190382145,-10.743365679495717,-68.38244971733974,-89.81523848497477,0.08554644248286937,0.6368382836763228,0.0,8.263257884458011e-35,0.9999776966266901,0.4443359375,2.4306755109568167e-52,0.0,0.0
provenance,Data2txt,0,1,0.0001,576,288,576,288,6,True,23,13.074790887249666,22.01457767534278,31.143164459122755,-9.128586783779973,-44.001221938575185,-62.21221219932098,0.09920254395233782,0.6956259766897898,0.0,5.1862833438885315e-33,0.9999997760914769,0.3585069444444444,1.2042663701653218e-33,0.0,0.0
provenance,Data2txt,0,1,0.001,576,288,576,288,6,True,28,15.922515767711275,16.431995256807276,24.34549674757055,-7.913501490763277,-32.8210072468336,-48.60986304703826,0.11018943061792406,0.7477888217184353,0.0,2.625453665714271e-32,0.999999976809649,0.307861328125,9.839866006384578e-25,0.0,0.003472222222222222
provenance,Data2txt,0,2,1e-06,576,288,576,288,6,True,22,23.22502685776242,36.45791528514391,47.35514831274309,-10.897233027599182,-73.09143308701331,-94.82135181191023,0.037990274996870785,0.7595070835821761,0.06666666666666667,0.000954045987135192,0.9999582025804407,0.3992241753472222,6.259509393895542e-42,0.0,0.0
provenance,Data2txt,0,2,0.0001,576,288,576,288,6,True,27,29.44987487934016,24.327467684567416,33.754917162479735,-9.42744947791232,-48.807148067255,-67.64723769597052,0.04630383428127036,0.8145901412257593,0.06666666666666667,0.0009540459871351916,0.9999995776837362,0.34220377604166663,1.301612531883006e-30,0.006944444444444444,0.03125
provenance,Data2txt,0,2,0.001,576,288,576,288,6,True,26,38.876529252332254,18.74553933916307,27.077802027793055,-8.33226268862999,-37.619883043543915,-54.279034274243,0.05279955031605364,0.8588782933527326,0.06666666666666667,0.0009540459871351911,0.9999999537900615,0.32516818576388884,1.3071300088513368e-27,0.04861111111111111,0.059027777777777776
provenance,Data2txt,0,3,1e-06,576,288,576,288,6,True,22,16.007154912331174,34.924311861797975,46.1074068220196,-11.18309496022163,-69.88953734552977,-92.1881545922526,0.05863887387244936,0.6429006698007226,0.0,3.402353602549397e-39,0.9999738831372371,0.4277886284722222,2.2899802978162403e-48,0.0,0.0
