representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,0,1e-06,576,288,128,128,6,True,26,6.620764848984304,34.18376162798034,44.39499794190941,-10.211236313929078,-68.45387132331918,-88.45668637857608,0.18481290055620558,0.5106592932488935,0.06666666666666667,0.019030295541345933,0.9999788046415479,0.51953125,1.1716351351399961e-32,0.0,0.0
provenance,Data2txt,0,0,0.0001,576,288,128,128,6,True,26,7.98166557226708,21.57910895447674,30.86072713457559,-9.281618180098846,-43.46557552458344,-61.47581318507544,0.19922144994051005,0.5900934507276914,0.06666666666666667,0.019030295541345936,0.9999997866457939,0.3671875,5.542534149978852e-16,0.0,0.0
provenance,Data2txt,0,0,0.001,576,288,128,128,6,True,29,9.769565862185843,15.594794897193617,24.133021800393593,-8.538226903199977,-31.67239269685402,-48.08791097245372,0.20886387728196315,0.6594109958570926,0.06666666666666667,0.019030295541345946,0.9999999773809575,0.3359375,2.1947921596940167e-13,0.0,0.0
provenance,Data2txt,0,1,1e-06,576,288,128,128,6,True,21,9.014699525439115,34.283870419734484,44.681592083344725,-10.397721663610236,-67.9351804684531,-88.71068907233885,0.10445969344730721,0.4438177995571919,0.0,7.819558048027981e-36,0.9999785111541903,0.45703125,5.804759161694703e-25,0.0,0.0
provenance,Data2txt,0,1,0.0001,576,288,128,128,6,True,22,10.673240309582855,22.11198986903335,30.88241273765886,-8.770422868625513,-43.47244606930171,-61.109341954388256,0.12081104862752334,0.5240079875143655,0.0,3.497278944264264e-33,0.9999997842758829,0.41015625,5.470057972924996e-20,0.0,0.0
provenance,Data2txt,0,1,0.001,576,288,128,128,6,True,29,12.954499331591697,16.54642275963591,24.096139917888063,-7.54971715825215,-32.17818345115884,-47.51555621018344,0.1339155900128406,0.6008959192384085,0.0,2.479003145184642e-32,0.9999999776636365,0.35546875,5.601551930573579e-15,0.0,0.0
provenance,Data2txt,0,2,1e-06,576,288,128,128,6,True,22,27.866169580794274,36.19826130837261,47.35415339994947,-11.155892091576852,-73.73529114022021,-95.80077299110275,0.056359694447803727,0.8224374532490101,0.0,5.352810698700388e-35,0.999964056734167,0.375,1.130724758563229e-16,0.0,0.0
provenance,Data2txt,0,2,0.0001,576,288,128,128,6,True,26,35.52982252712231,24.06943962890178,33.725887605707285,-9.656447976805502,-49.55222469644274,-68.51462357282023,0.06277099638186164,0.8639242167449225,0.0,1.1487995307685886e-33,0.9999996370800474,0.35546875,5.601551930573579e-15,0.015625,0.046875
provenance,Data2txt,0,2,0.001,576,288,128,128,6,True,25,47.30672959790713,18.481675779616026,27.070420820831895,-8.588745041215867,-38.43000316252422,-55.07533100693952,0.06765864164381166,0.8970509357452324,0.0,4.436172467259947e-33,0.9999999605119725,0.25390625,9.227219252368915e-08,0.0703125,0.1015625
provenance,Data2txt,0,3,1e-06,576,288,128,128,6,True,22,15.879258782587113,35.025466497974044,46.1238440498073,-11.098377551833263,-69.55044028946485,-91.57523680908301,0.06084340131623524,0.5486584643658658,0.0,7.313290126932936e-37,0.9999759212255223,0.4765625,3.123319304000983e-27,0.0,0.0
provenance,Data2txt,0,3,0.0001,576,288,128,128,6,True,21,19.11767714441335,22.92536809764568,32.32958760747775,-9.404219509832066,-45.31482195171189,-63.98653956694437,0.0711898349407063,0.6269897434957952,0.0,1.1171567039962433e-33,0.9999997580142919,0.3984375,7.613526402484427e-19,0.0,0.0
provenance,Data2txt,0,3,0.001,576,288,128,128,6,True,25,23.69024472733217,17.42584869673508,25.553140122751955,-8.127291426016878,-34.278045362790735,-50.42861476356471,0.07965757691631775,0.6965081127408268,0.0,7.326091772550861e-33,0.9999999747050292,0.34765625,2.4982790013842228e-14,0.0,0.015625
provenance,Data2txt,0,4,1e-06,576,288,128,128,6,True,26,18.6250979779716,34.47895950296182,45.814859810837035,-11.335900307875216,-69.082097006195,-91.52437500144187,0.05441875254273093,0.5844463136840297,0.0,8.383188534455787e-36,0.9999783089778506,0.4453125,1.1714659285130115e-23,0.0,0.0
provenance,Data2txt,0,4,0.0001,576,288,128,128,6,True,24,22.34232058920341,22.378292298513628,32.014305078806565,-9.636012780292933,-44.92732557290959,-63.92158691669029,0.061604929454642,0.6555963922998611,0.0,1.7185308524711677e-33,0.9999997823497294,0.375,1.130724758563229e-16,0.0,0.0
provenance,Data2txt,0,4,0.001,576,288,128,128,6,True,24,27.598813426160607,16.908982327506394,25.220051400015958,-8.31106907250956,-34.05444311791723,-50.32704598914588,0.07109526748039223,0.718764910708695,0.0,6.723288343602199e-33,0.999999977558761,0.33984375,1.073542535028726e-13,0.0,0.015625
provenance,Data2txt,0,5,1e-06,576,288,128,128,6,True,24,17.22334334851669,34.303787586371726,45.9233363828895,-11.619548796517781,-69.20499084469682,-92.17968215453615,0.06950882908517908,0.6826134889873968,0.0,2.0686822258270764e-34,0.9999818471233806,0.42578125,1.4189253022669924e-21,0.0,0.0
provenance,Data2txt,0,5,0.0001,576,288,128,128,6,True,23,20.667744026719273,22.163047049637175,32.121047372619245,-9.958000322982066,-45.01213894955583,-64.57587483905547,0.07723633058136112,0.7370917560108915,0.0,3.2345427373756444e-33,0.9999998177971912,0.375,1.130724758563229e-16,0.0078125,0.015625
provenance,Data2txt,0,5,0.001,576,288,128,128,6,True,25,25.42616758106003,16.637031610410585,25.3110935370432,-8.674061926632616,-34.06419029591818,-50.9596554264544,0.08559584289308347,0.7846671952703465,0.0,2.341527094453325e-32,0.9999999811632051,0.32421875,1.7752249813670875e-12,0.03125,0.0390625
provenance,Data2txt,0,6,1e-06,576,288,128,128,6,True,24,16.79723067023758,34.1913200852391,45.639334093956435,-11.448014008717335,-68.3492679717082,-91.09170149555088,0.03775442309073753,0.4001674183525985,0.0,2.76620521208621e-35,0.9999792820049546,0.484375,3.5744265926567454e-28,0.0,0.0
provenance,Data2txt,0,6,0.0001,576,288,128,128,6,True,24,20.017964037915952,22.107975752865457,31.842322409918914,-9.734346657053461,-44.15019558486038,-63.50362578581672,0.050110399826796014,0.5009407817750782,0.0,2.4311891835282354e-33,0.9999997922102858,0.37109375,2.5154011173646954e-16,0.0,0.0
provenance,Data2txt,0,6,0.001,576,288,128,128,6,True,24,24.47507105771794,16.67498677647886,25.05370509179221,-8.378718315313353,-33.232157524376206,-49.947485367849936,0.06315402198939893,0.5891766666495213,0.0,1.4809581525136e-34,0.9999999786643153,0.3203125,3.4992283936701867e-12,0.0078125,0.0390625
provenance,Data2txt,0,7,1e-06,576,288,128,128,6,True,25,17.64180107663827,34.04118765940485,45.58356200036884,-11.542374340964002,-68.47911540593903,-91.38787841130306,0.04636742131621599,0.544956187647381,0.0,1.7250218895391019e-35,0.9999784858480507,0.484375,3.5744265926567454e-28,0.0,0.0
provenance,Data2txt,0,7,0.0001,576,288,128,128,6,True,22,21.05005151799625,21.927440710455244,31.77865506695386,-9.85121435649862,-44.30082770440268,-63.77568342450331,0.058858714450412825,0.6185708356081356,0.0,7.152620324882506e-33,0.9999997842038401,0.359375,2.615412053009669e-15,0.0,0.0
provenance,Data2txt,0,7,0.001,576,288,128,128,6,True,25,25.69535561435452,16.4508823538941,24.960990329518445,-8.510107975624344,-33.398779091268445,-50.120134356381016,0.0696389200724851,0.6843068238028507,0.0,2.9507739126841743e-33,0.999999977822574,0.28125,1.895287375668482e-09,0.0,0.0
provenance,Data2txt,0,8,1e-06,576,288,128,128,6,True,23,14.838133603282468,34.021387467412495,45.11472254623835,-11.093335078825852,-67.79918674468752,-89.63979663445201,0.042044000761180686,0.2792307661566244,0.0,3.528430731060108e-36,0.9999773786577618,0.4453125,1.1714659285130115e-23,0.0,0.0
provenance,Data2txt,0,8,0.0001,576,288,128,128,6,True,23,17.619460154295687,21.89846964719141,31.31750968096581,-9.419040033774401,-43.545767834723385,-62.05293778259876,0.05580697442007561,0.38694925401169783,0.0,1.4608412937286512e-33,0.9999997731727985,0.38671875,9.694174955308428e-18,0.0,0.0
provenance,Data2txt,0,8,0.001,576,288,128,128,6,True,25,21.57903118025289,16.40766313889541,24.535143545987474,-8.12748040709206,-32.56357984915752,-48.523322748225866,0.06990281718239677,0.492068477006029,0.0,7.669042172173881e-33,0.9999999767573797,0.296875,1.6997263144796861e-10,0.0,0.0
provenance,Data2txt,0,9,1e-06,576,288,128,128,6,True,23,16.31158489549698,34.161833006515664,45.1247266991824,-10.96289369266673,-68.52357684911689,-90.06678887290211,0.06020859706183576,0.4029436840834101,0.0,1.479178169282051e-35,0.9999752872472346,0.4296875,5.55074371993741e-22,0.0,0.0
