feature,layer,responses,onset_minus_pre,paired_dz,expected_direction,direction_supported
ph_mean_death,0,222,-0.0038055585579829174,-0.43371631152971885,1,False
ph_mean_death,1,222,-0.0018135537770954339,-0.14148984409887116,1,False
ph_mean_death,2,222,-0.00691020322611203,-0.46413597477513335,1,False
ph_mean_death,3,222,-0.006444695632199984,-0.4943592935558631,1,False
ph_mean_death,4,222,-0.01098814999332299,-0.6590075865288451,1,False
ph_mean_death,5,222,-0.010706884098482562,-0.5426251704809967,1,False
ph_mean_death,6,222,-0.012177238761036246,-0.6707524223386825,1,False
ph_mean_death,7,222,-0.007189471341736682,-0.4562301201840291,1,False
ph_mean_death,8,222,-0.007708694215293403,-0.4731313264243462,1,False
ph_mean_death,9,222,-0.0076579989882202834,-0.4669237790134163,1,False
ph_mean_death,10,222,-0.007493662874440889,-0.4209364524775332,1,False
ph_mean_death,11,222,0.00034986845813356004,0.023120225046726683,1,True
ph_mean_death,12,222,-0.004560253775871552,-0.37215590314628094,1,False
ph_mean_death,13,222,-0.004620564178572045,-0.2700715721782332,1,False
ph_mean_death,14,222,-0.007462554955267691,-0.3912702965853225,1,False
ph_mean_death,15,222,-0.003452096235107731,-0.1698821692060847,1,False
ph_mean_death,16,222,-0.004144889478747909,-0.22115751368979913,1,False
ph_mean_death,17,222,-0.0036825366183981167,-0.19291415342886853,1,False
ph_mean_death,18,222,-0.0013160519637503065,-0.07456005944817432,1,False
ph_mean_death,19,222,-0.005713818947205672,-0.36965391011340004,1,False
ph_mean_death,20,222,-0.004971308549782177,-0.24655071746018006,1,False
ph_mean_death,21,222,-0.0010906001133424742,-0.04989405673562437,1,False
ph_mean_death,22,222,-0.0036849111050098866,-0.1986204388747239,1,False
ph_mean_death,23,222,-0.003819469731670242,-0.21239102990824274,1,False
ph_mean_death,24,222,-0.008747172281817274,-0.5165579023703805,1,False
ph_mean_death,25,222,-0.0035204643736014493,-0.30877405345464753,1,False
ph_mean_death,26,222,-0.0070277797142127615,-0.43539426115164487,1,False
ph_mean_death,27,222,-0.007103212815415752,-0.5369362267834925,1,False
ph_mean_death,28,222,-0.008036493113986007,-0.45491551005971126,1,False
ph_mean_death,29,222,-0.0036911124715933927,-0.3244319186108044,1,False
ph_mean_death,30,222,-0.006328573668593759,-0.38703131220960424,1,False
ph_mean_death,31,222,-0.007230874990020787,-0.46593264896071973,1,False
ph_max_death,0,222,0.007533250762535645,0.14720571751006625,1,True
ph_max_death,1,222,0.004899271302395039,0.11437945542316529,1,True
ph_max_death,2,222,-0.009740070918121853,-0.20538917306520726,1,False
ph_max_death,3,222,-0.0026190407775543833,-0.045169429451267465,1,False
ph_max_death,4,222,-0.007834328992946728,-0.10184071341055803,1,False
ph_max_death,5,222,0.0028673556071143968,0.05841431920252435,1,True
ph_max_death,6,222,0.0026498742334477537,0.053545273453034004,1,True
ph_max_death,7,222,-0.00017626153993176985,-0.003699759899756704,1,False
ph_max_death,8,222,-0.005482839034484314,-0.0970004641107409,1,False
ph_max_death,9,222,-0.01046599783338942,-0.2169962445904599,1,False
ph_max_death,10,222,0.00871380868258777,0.1886866396999588,1,True
ph_max_death,11,222,-0.008201678191219364,-0.21014111725283546,1,False
ph_max_death,12,222,-0.0022132015443063,-0.04366242109380339,1,False
ph_max_death,13,222,0.009914227434106776,0.21958389434865883,1,True
ph_max_death,14,222,-0.02991409223895889,-0.6047476318352937,1,False
ph_max_death,15,222,-0.011872871636270403,-0.22953970436813778,1,False
ph_max_death,16,222,-0.0008465416796572574,-0.01270249313968484,1,False
ph_max_death,17,222,-0.006161517119622446,-0.0903706531776203,1,False
ph_max_death,18,222,-0.0009201896620226336,-0.018258768373420935,1,False
ph_max_death,19,222,0.003371223068989075,0.054363773754898696,1,True
ph_max_death,20,222,-0.003067108894790615,-0.04876422799228844,1,False
ph_max_death,21,222,-0.011829812650208,-0.24579532403315704,1,False
ph_max_death,22,222,-0.014061708171088417,-0.23968949387963223,1,False
ph_max_death,23,222,-0.009985021307124748,-0.14760396523220076,1,False
ph_max_death,24,222,-0.037446710641856666,-0.4778573581857639,1,False
ph_max_death,25,222,-0.01617076482858744,-0.22407712206988353,1,False
ph_max_death,26,222,-0.010393713777129715,-0.20986394267472597,1,False
ph_max_death,27,222,-0.012249287855517757,-0.21992134945912845,1,False
ph_max_death,28,222,-0.01485703690900459,-0.26008143470098294,1,False
ph_max_death,29,222,-0.02254970700622679,-0.4030351336060266,1,False
ph_max_death,30,222,-0.0014808820980089204,-0.030515585433550846,1,False
ph_max_death,31,222,0.013165223840120676,0.22842745352703514,1,True
ph_persistence_entropy,0,222,-0.0030196808479927683,-0.12189833170060102,1,False
ph_persistence_entropy,1,222,-0.0038801732364001575,-0.09997170581703112,1,False
ph_persistence_entropy,2,222,-0.03198116104882043,-0.3889918090404826,1,False
ph_persistence_entropy,3,222,-0.01229179335070086,-0.23977666254748353,1,False
ph_persistence_entropy,4,222,-0.01887796161411045,-0.39209104389161004,1,False
ph_persistence_entropy,5,222,-0.022161272195008425,-0.47457936935496453,1,False
ph_persistence_entropy,6,222,-0.015388777664115836,-0.512683942157544,1,False
ph_persistence_entropy,7,222,-0.0069306906279142915,-0.4021023794908256,1,False
ph_persistence_entropy,8,222,-0.001911035529128066,-0.10099194704445837,1,False
ph_persistence_entropy,9,222,-0.003557748622722454,-0.2108216686514806,1,False
ph_persistence_entropy,10,222,-0.012474437017698545,-0.4530245263117043,1,False
ph_persistence_entropy,11,222,0.0008459016009493991,0.06551297356441341,1,True
ph_persistence_entropy,12,222,-0.004294304160384444,-0.23494431880889363,1,False
ph_persistence_entropy,13,222,-0.010084941580488876,-0.2800946306479525,1,False
ph_persistence_entropy,14,222,0.0019180699511691256,0.07406089851488036,1,True
ph_persistence_entropy,15,222,-0.005012020334467158,-0.1591555631032426,1,False
ph_persistence_entropy,16,222,-0.00041195508596059436,-0.013236686664012978,1,False
