family,offset,tokens,mean_score,standard_error
all,-4,221,655.5831891141866,653.0498421791345
all,-3,222,1.0632164945473541,0.02752557800011552
all,-2,222,1.0122227926512022,0.013540606455117076
all,-1,222,3032.9698051563255,3025.032956395003
all,0,222,2232.7475370912402,1997.9617775820177
all,1,222,292.86909753057336,291.19271303713805
all,2,221,210.44353296718987,208.93374104785838
all,3,220,1087.5728346163576,1084.0550150137524
all,4,220,1.0797409374605527,0.020664401750511107
fracture,-4,221,1.0882182622926806,0.015633669644069696
fracture,-3,222,1.092730036726943,0.013563891113592031
fracture,-2,222,1.0772032630336177,0.010199766740072228
fracture,-1,222,1.022655129969657,0.008859101653082352
fracture,0,222,1.068976983562246,0.01465515784660325
fracture,1,222,1.066196130739676,0.012880184148180747
fracture,2,221,1.0714736904493825,0.013215920438113486
fracture,3,220,1.0811858060685071,0.01580456918651352
fracture,4,220,1.1234084549275312,0.01723697783621982
integration,-4,221,0.9094018709605636,0.01874163289267114
integration,-3,222,0.9091464737514118,0.018128233005746876
integration,-2,222,0.8593805861902667,0.013707749240316187
integration,-1,222,0.9369309477440946,0.017093843160229494
integration,0,222,0.9243149684893118,0.017541107453516464
integration,1,222,0.8958258314712627,0.015397283861049492
integration,2,221,0.9061779598305129,0.01694494733693804
integration,3,220,0.9201393208720468,0.02040195867098302
integration,4,220,0.9377342833714052,0.02223322889472807
lockin,-4,221,1061.5190633446382,1058.0645672120977
lockin,-3,222,1.0774302412797738,0.04407936433971294
lockin,-2,222,1.0072837053118526,0.021981544111999197
lockin,-1,222,4913.395208341044,4901.116233370637
lockin,0,222,3616.8360696655136,3237.071157855085
lockin,1,222,473.8635516078086,471.78899404332856
lockin,2,221,340.31578041849093,338.51428463785095
lockin,3,220,1761.41688943126,1756.3728171632933
lockin,4,220,1.0748674669049003,0.028178448121715653
