feature,layer,anomaly_auroc,anomaly_auprc,raw_auroc,raw_separability,rewired_anomaly_auroc,real_minus_rewired_auroc
ph_mean_death,0,nan,nan,nan,nan,nan,nan
ph_mean_death,1,nan,nan,nan,nan,nan,nan
ph_mean_death,2,nan,nan,nan,nan,nan,nan
ph_mean_death,3,nan,nan,nan,nan,nan,nan
ph_mean_death,4,nan,nan,nan,nan,nan,nan
ph_mean_death,5,nan,nan,nan,nan,nan,nan
ph_mean_death,6,nan,nan,nan,nan,nan,nan
ph_mean_death,7,nan,nan,nan,nan,nan,nan
ph_mean_death,8,nan,nan,nan,nan,nan,nan
ph_mean_death,9,nan,nan,nan,nan,nan,nan
ph_mean_death,10,nan,nan,nan,nan,nan,nan
ph_mean_death,11,nan,nan,nan,nan,nan,nan
ph_mean_death,12,nan,nan,nan,nan,nan,nan
ph_mean_death,13,nan,nan,nan,nan,nan,nan
ph_mean_death,14,nan,nan,nan,nan,nan,nan
ph_mean_death,15,nan,nan,nan,nan,nan,nan
ph_mean_death,16,nan,nan,nan,nan,nan,nan
ph_mean_death,17,nan,nan,nan,nan,nan,nan
ph_mean_death,18,nan,nan,nan,nan,nan,nan
ph_mean_death,19,nan,nan,nan,nan,nan,nan
ph_mean_death,20,nan,nan,nan,nan,nan,nan
ph_mean_death,21,nan,nan,nan,nan,nan,nan
ph_mean_death,22,nan,nan,nan,nan,nan,nan
ph_mean_death,23,nan,nan,nan,nan,nan,nan
ph_mean_death,24,nan,nan,nan,nan,nan,nan
ph_mean_death,25,nan,nan,nan,nan,nan,nan
ph_mean_death,26,nan,nan,nan,nan,nan,nan
ph_mean_death,27,nan,nan,nan,nan,nan,nan
ph_mean_death,28,nan,nan,nan,nan,nan,nan
ph_mean_death,29,nan,nan,nan,nan,nan,nan
ph_mean_death,30,nan,nan,nan,nan,nan,nan
ph_mean_death,31,nan,nan,nan,nan,nan,nan
ph_max_death,0,nan,nan,nan,nan,nan,nan
ph_max_death,1,nan,nan,nan,nan,nan,nan
ph_max_death,2,nan,nan,nan,nan,nan,nan
ph_max_death,3,nan,nan,nan,nan,nan,nan
ph_max_death,4,nan,nan,nan,nan,nan,nan
ph_max_death,5,nan,nan,nan,nan,nan,nan
ph_max_death,6,nan,nan,nan,nan,nan,nan
ph_max_death,7,nan,nan,nan,nan,nan,nan
ph_max_death,8,nan,nan,nan,nan,nan,nan
ph_max_death,9,nan,nan,nan,nan,nan,nan
ph_max_death,10,nan,nan,nan,nan,nan,nan
ph_max_death,11,nan,nan,nan,nan,nan,nan
ph_max_death,12,nan,nan,nan,nan,nan,nan
ph_max_death,13,nan,nan,nan,nan,nan,nan
ph_max_death,14,nan,nan,nan,nan,nan,nan
ph_max_death,15,nan,nan,nan,nan,nan,nan
ph_max_death,16,nan,nan,nan,nan,nan,nan
ph_max_death,17,nan,nan,nan,nan,nan,nan
ph_max_death,18,nan,nan,nan,nan,nan,nan
ph_max_death,19,nan,nan,nan,nan,nan,nan
ph_max_death,20,nan,nan,nan,nan,nan,nan
ph_max_death,21,nan,nan,nan,nan,nan,nan
ph_max_death,22,nan,nan,nan,nan,nan,nan
ph_max_death,23,nan,nan,nan,nan,nan,nan
ph_max_death,24,nan,nan,nan,nan,nan,nan
ph_max_death,25,nan,nan,nan,nan,nan,nan
ph_max_death,26,nan,nan,nan,nan,nan,nan
ph_max_death,27,nan,nan,nan,nan,nan,nan
ph_max_death,28,nan,nan,nan,nan,nan,nan
ph_max_death,29,nan,nan,nan,nan,nan,nan
