feature,layer,responses,standardized_onset_minus_pre,paired_dz,expected_direction,direction_supported
prompt_mass_mean,0,222,0.1509197371852425,0.29593423427227017,-1,False
prompt_mass_mean,1,222,0.15734657274374553,0.1907411640046299,-1,False
prompt_mass_mean,2,222,0.21821764809591276,0.2548245132711848,-1,False
prompt_mass_mean,3,222,0.35847567176228173,0.44951687297530213,-1,False
prompt_mass_mean,4,222,0.4258750585654566,0.5524425223159721,-1,False
prompt_mass_mean,5,222,0.4821121540625353,0.5508543612025246,-1,False
prompt_mass_mean,6,222,0.5833936878689775,0.7435029292420174,-1,False
prompt_mass_mean,7,222,0.35056645575877243,0.4153671554255228,-1,False
prompt_mass_mean,8,222,0.20278941447267662,0.24166268058781876,-1,False
prompt_mass_mean,9,222,0.24010511551488628,0.3026710095957975,-1,False
prompt_mass_mean,10,222,0.3350661565960796,0.43730849824003265,-1,False
prompt_mass_mean,11,222,-0.009849577219233857,-0.011336915631798235,-1,True
prompt_mass_mean,12,222,0.3919327295813206,0.49144918795069914,-1,False
prompt_mass_mean,13,222,0.16283963189401604,0.2363562965314704,-1,False
prompt_mass_mean,14,222,0.07507046768525699,0.10043592985940585,-1,False
prompt_mass_mean,15,222,0.04607496526394341,0.05520747381411007,-1,False
prompt_mass_mean,16,222,0.27757358121442366,0.36728568429822533,-1,False
prompt_mass_mean,17,222,0.2098731608339795,0.25831452009592254,-1,False
prompt_mass_mean,18,222,0.11028876002911511,0.14217153860598705,-1,False
prompt_mass_mean,19,222,0.35748726908151096,0.5008566142842727,-1,False
prompt_mass_mean,20,222,0.2494226063156987,0.31680424851486233,-1,False
prompt_mass_mean,21,222,0.006189362053667103,0.007303151930004352,-1,False
prompt_mass_mean,22,222,0.08887113107217325,0.12295562544682588,-1,False
prompt_mass_mean,23,222,0.19313275599264884,0.2642045882183434,-1,False
prompt_mass_mean,24,222,0.2822566926814951,0.3982346883081824,-1,False
prompt_mass_mean,25,222,0.13635972194239362,0.19715777985989927,-1,False
prompt_mass_mean,26,222,0.271200551273855,0.4153379182146996,-1,False
prompt_mass_mean,27,222,0.3581787533051259,0.49364854324593455,-1,False
prompt_mass_mean,28,222,0.41364863212849645,0.5538450691134029,-1,False
prompt_mass_mean,29,222,0.09745525236468057,0.1170421101665915,-1,False
prompt_mass_mean,30,222,0.35793148744683545,0.45076192545769334,-1,False
prompt_mass_mean,31,222,0.4422177878451777,0.4787848684219306,-1,False
prompt_effective_sources_mean,0,222,-0.41002556043970695,-0.5171507888338492,-1,True
prompt_effective_sources_mean,1,222,0.023547526163695095,0.0174925515861808,-1,False
prompt_effective_sources_mean,2,222,-0.4739837180739185,-0.36193275464276486,-1,True
prompt_effective_sources_mean,3,222,-0.41645845616454474,-0.23099512537661943,-1,True
prompt_effective_sources_mean,4,222,-0.5365740254454248,-0.4184089213596931,-1,True
prompt_effective_sources_mean,5,222,-0.2933227703109518,-0.3269170537748048,-1,True
prompt_effective_sources_mean,6,222,-0.44590577214687793,-0.2617353763256572,-1,True
prompt_effective_sources_mean,7,222,-0.27722745113544633,-0.208857703653387,-1,True
prompt_effective_sources_mean,8,222,-0.1653509342220721,-0.23424629541370948,-1,True
prompt_effective_sources_mean,9,222,-0.11787726609288035,-0.1633779381550847,-1,True
prompt_effective_sources_mean,10,222,-0.0844372791145836,-0.10961258207979256,-1,True
prompt_effective_sources_mean,11,222,-0.038256855513732715,-0.04558914299439063,-1,True
