method,aggregation,observed_tokens,cohort,metric,pairs,mean,low,high,sources
current,current,1,eligible_at_k,paired_win,50,0.8666666666666666,0.7625,0.9541666666666668,40
current,current,1,eligible_at_k,gap,50,0.18118396854648985,0.12245661530954143,0.23980780154233783,40
current,current,2,eligible_at_k,paired_win,50,0.8416666666666666,0.7375,0.9416666666666667,40
current,current,2,eligible_at_k,gap,50,0.2128255839770039,0.1467238657549024,0.2805238545166018,40
current,current,4,eligible_at_k,paired_win,49,0.8247863247863247,0.7094017094017093,0.9316239316239315,39
current,current,4,eligible_at_k,gap,49,0.22124046386561844,0.14267929562041137,0.29632004373189474,39
current,current,8,eligible_at_k,paired_win,43,0.7870370370370371,0.6527777777777778,0.9027777777777778,36
current,current,8,eligible_at_k,gap,43,0.28682066910658727,0.19514057741034777,0.37598692687073104,36
current,prefix_mean,1,eligible_at_k,paired_win,50,0.8666666666666666,0.7625,0.9541666666666668,40
current,prefix_mean,1,eligible_at_k,gap,50,0.18118396854648985,0.12245661530954143,0.23980780154233783,40
current,prefix_mean,2,eligible_at_k,paired_win,50,0.8833333333333334,0.7833333333333334,0.9625,40
current,prefix_mean,2,eligible_at_k,gap,50,0.1970047762617469,0.13904105902416633,0.2576952846604399,40
current,prefix_mean,4,eligible_at_k,paired_win,49,0.876068376068376,0.7733974358974358,0.9658119658119657,39
current,prefix_mean,4,eligible_at_k,gap,49,0.20497429376452142,0.1423431128500284,0.26654651010166214,39
current,prefix_mean,8,eligible_at_k,paired_win,43,0.8148148148148148,0.6849537037037037,0.925925925925926,36
current,prefix_mean,8,eligible_at_k,gap,43,0.24137171041824057,0.17524227313352406,0.3077716813215779,36
current_increment,current,1,eligible_at_k,paired_win,50,0.7833333333333334,0.6497916666666667,0.9,40
current_increment,current,1,eligible_at_k,gap,50,0.13909579989810783,0.07717260897019879,0.20018598769752619,40
current_increment,current,2,eligible_at_k,paired_win,50,0.8041666666666666,0.6791666666666666,0.9166666666666666,40
current_increment,current,2,eligible_at_k,gap,50,0.1553224744896094,0.09303346224354271,0.21707628799889545,40
current_increment,current,4,eligible_at_k,paired_win,49,0.6794871794871795,0.5384615384615384,0.8076923076923077,39
