method,aggregation,length_bin,sentences,sources,threshold,calibration_normal_sentences,positives,negatives,auroc,ap,recall,fpr
current,maximum,all,1706,149,,0,163,1543,0.8904253923318848,0.5769403860726199,,
current,maximum,short_1_8,517,113,,0,49,468,0.9016657945229373,0.7472504971233987,,
current,maximum,medium_9_32,984,149,,0,86,898,0.8894053970062672,0.5354132906455606,,
current,maximum,long_33_plus,205,114,,0,28,177,0.8779257465698144,0.6546090728369162,,
current,mean,all,1706,149,,0,163,1543,0.8802189981273034,0.5901895645134079,,
current,mean,short_1_8,517,113,,0,49,468,0.898831327402756,0.7506973045790276,,
current,mean,medium_9_32,984,149,,0,86,898,0.8811311959392966,0.5329296314685924,,
current,mean,long_33_plus,205,114,,0,28,177,0.8375706214689265,0.5125481346279768,,
current,top4_mean,all,1706,149,,0,163,1543,0.8891689760604988,0.5742334316226032,,
current,top4_mean,short_1_8,517,113,,0,49,468,0.9029304029304029,0.7502286755299623,,
current,top4_mean,medium_9_32,984,149,,0,86,898,0.8858574610244989,0.5401051583364311,,
current,top4_mean,long_33_plus,205,114,,0,28,177,0.8793381759483454,0.6371874310859763,,
current_increment,maximum,all,1706,149,,0,163,1543,0.6561196617218469,0.24029380538071277,,
current_increment,maximum,short_1_8,517,113,,0,49,468,0.5762689691261119,0.2570591097192976,,
current_increment,maximum,medium_9_32,984,149,,0,86,898,0.7013906873154814,0.22786171396952737,,
current_increment,maximum,long_33_plus,205,114,,0,28,177,0.692090395480226,0.3628089284085078,,
current_increment,mean,all,1706,149,,0,163,1543,0.6452810833807139,0.2316091912908929,,
current_increment,mean,short_1_8,517,113,,0,49,468,0.5831152974010116,0.26738648673557097,,
current_increment,mean,medium_9_32,984,149,,0,86,898,0.6631403118040089,0.27277195390416886,,
current_increment,mean,long_33_plus,205,114,,0,28,177,0.7814769975786925,0.4335717765000991,,
current_increment,top4_mean,all,1706,149,,0,163,1543,0.6690376885121407,0.3078021943771801,,
current_increment,top4_mean,short_1_8,517,113,,0,49,468,0.5929269143554857,0.274821893978585,,
current_increment,top4_mean,medium_9_32,984,149,,0,86,898,0.7083182265499559,0.31160795721655354,,
current_increment,top4_mean,long_33_plus,205,114,,0,28,177,0.7227602905569006,0.41687800233353683,,
past_ewma,maximum,all,1706,149,,0,163,1543,0.8796464540036341,0.5626601802330128,,
past_ewma,maximum,short_1_8,517,113,,0,49,468,0.8724053724053724,0.6376520177937703,,
past_ewma,maximum,medium_9_32,984,149,,0,86,898,0.8855984875951728,0.5465553237361097,,
past_ewma,maximum,long_33_plus,205,114,,0,28,177,0.8668280871670702,0.6080593839242888,,
past_ewma,mean,all,1706,149,,0,163,1543,0.8721318123804714,0.5667052045217488,,
past_ewma,mean,short_1_8,517,113,,0,49,468,0.8732775161346589,0.6831975529184695,,
past_ewma,mean,medium_9_32,984,149,,0,86,898,0.8770782617703423,0.5240329583037359,,
past_ewma,mean,long_33_plus,205,114,,0,28,177,0.8315173527037933,0.5020681892213625,,
past_ewma,top4_mean,all,1706,149,,0,163,1543,0.877765805597414,0.5651233564685177,,
past_ewma,top4_mean,short_1_8,517,113,,0,49,468,0.8709663352520495,0.6754235092912251,,
past_ewma,top4_mean,medium_9_32,984,149,,0,86,898,0.8843813124773398,0.545137011404829,,
past_ewma,top4_mean,long_33_plus,205,114,,0,28,177,0.8696529459241323,0.6053946035911737,,
