population,weighting,method,tokens,sources,positives,negatives,auroc,ap
all,token,current,30470,149,2306,28164,0.8841517925056228,0.5227626345970311
all,token,past_ewma,30470,149,2306,28164,0.882431629855266,0.5188728260302733
all,token,current_increment,30470,149,2306,28164,0.618870971695581,0.16483119573903127
first_or_normal,token,current,28215,149,51,28164,0.794698627924398,0.0052271822680602835
first_or_normal,token,past_ewma,28215,149,51,28164,0.6258531959865326,0.0026368875905939935
first_or_normal,token,current_increment,28215,149,51,28164,0.8096311241440192,0.021546742733031532
onset_or_normal,token,current,28247,149,83,28164,0.8426719233131931,0.013112481759027614
onset_or_normal,token,past_ewma,28247,149,83,28164,0.7220364200731344,0.0072934486232140786
onset_or_normal,token,current_increment,28247,149,83,28164,0.7665288336986635,0.027342021902345384
continuation_or_normal,token,current,30387,149,2223,28164,0.8857005235640897,0.5249446664267694
continuation_or_normal,token,past_ewma,30387,149,2223,28164,0.8884202949078603,0.525190131746371
continuation_or_normal,token,current_increment,30387,149,2223,28164,0.6133578801318131,0.1547368807271946
all,positive_span_equal,current,30470,149,2306,28164,0.8744756750886108,0.4406702107733141
all,positive_span_equal,past_ewma,30470,149,2306,28164,0.8658541015436259,0.42118948436175097
all,positive_span_equal,current_increment,30470,149,2306,28164,0.6654187791232766,0.23176379563782312
