model,condition,mixed_cells,tokens,positives,negatives,mean,low,high,sources
full,previous,96,11362,2070,9292,0.7575481225344312,0.6973112118534848,0.8127286347715339,52
full,context,108,1586,431,1155,0.8053806371659773,0.7443147439852411,0.858890937266521,51
head_contrast,previous,96,11362,2070,9292,0.7500251775402251,0.6894504403104176,0.8050539063577403,52
head_contrast,context,108,1586,431,1155,0.7868896102754273,0.7234228284075398,0.843896651115122,51
unordered_heads,previous,96,11362,2070,9292,0.6620843468887977,0.5904285952119628,0.7263580431366732,52
unordered_heads,context,108,1586,431,1155,0.6484025859130338,0.5630375506383574,0.7272492127559121,51
history_mean,previous,96,11362,2070,9292,0.5536138804501177,0.4867645108099408,0.6162941017824788,52
history_mean,context,108,1586,431,1155,0.5669568856097515,0.47857896086777235,0.6528295415677599,51
current_increment,previous,96,11362,2070,9292,0.7396950831265721,0.6741945288616509,0.7996219316627347,52
current_increment,context,108,1586,431,1155,0.7535116792266473,0.6808853957118348,0.8161193514127023,51
prompt_only,previous,96,11362,2070,9292,0.7129910334176015,0.6526349378413858,0.7706424109614611,52
prompt_only,context,108,1586,431,1155,0.7539972771177736,0.6845428308751182,0.8155417632280642,51
