method,aggregation,observed_tokens,cohort,metric,pairs,mean,low,high,sources
current_increment,current,1,eligible_at_k,paired_win,50,0.675,0.5375,0.8125,40
current_increment,current,1,eligible_at_k,gap,50,1.0865176780290853,0.33476430551338804,1.7776600859094402,40
current_increment,current,2,eligible_at_k,paired_win,50,0.7416666666666666,0.6041666666666666,0.8708333333333332,40
current_increment,current,2,eligible_at_k,gap,50,1.5990836342556072,0.8350584147351221,2.412031988838721,40
current_increment,current,4,eligible_at_k,paired_win,49,0.6324786324786325,0.5,0.7778846153846148,39
current_increment,current,4,eligible_at_k,gap,49,1.113649018218196,0.19953105103799526,2.270329941564544,39
current_increment,current,8,eligible_at_k,paired_win,43,0.5092592592592592,0.35648148148148145,0.662037037037037,36
current_increment,current,8,eligible_at_k,gap,43,0.6520078555460663,-0.09553261273076523,1.4442781330442225,36
current_increment,prefix_mean,1,eligible_at_k,paired_win,50,0.675,0.5375,0.8125,40
current_increment,prefix_mean,1,eligible_at_k,gap,50,1.0865176780290853,0.33476430551338804,1.7776600859094402,40
current_increment,prefix_mean,2,eligible_at_k,paired_win,50,0.7791666666666666,0.65,0.9,40
current_increment,prefix_mean,2,eligible_at_k,gap,50,1.3428006561423464,0.6910417468129629,1.9833190556957214,40
current_increment,prefix_mean,4,eligible_at_k,paired_win,49,0.7905982905982907,0.6666666666666666,0.9017094017094016,39
current_increment,prefix_mean,4,eligible_at_k,gap,49,1.380531306616411,0.768213730661629,2.0208156816081027,39
current_increment,prefix_mean,8,eligible_at_k,paired_win,43,0.7037037037037037,0.5601851851851851,0.8425925925925926,36
current_increment,prefix_mean,8,eligible_at_k,gap,43,1.052971655598312,0.564741866796284,1.5084211470236542,36
full,current,1,eligible_at_k,paired_win,50,0.7833333333333334,0.65,0.8958333333333334,40
full,current,1,eligible_at_k,gap,50,1.4824467754048476,0.9117135071672959,2.0481664589688493,40
full,current,2,eligible_at_k,paired_win,50,0.8291666666666666,0.7041666666666666,0.9333333333333332,40
full,current,2,eligible_at_k,gap,50,2.090836712530732,1.4012660626502993,2.8383003818182577,40
full,current,4,eligible_at_k,paired_win,49,0.6709401709401709,0.5299145299145298,0.8035256410256405,39
full,current,4,eligible_at_k,gap,49,2.0039585042905053,1.106610568082664,3.142173075272931,39
full,current,8,eligible_at_k,paired_win,43,0.8287037037037037,0.7083333333333334,0.9305555555555556,36
full,current,8,eligible_at_k,gap,43,2.3199527128390196,1.4296938766372933,3.299467809974432,36
full,prefix_mean,1,eligible_at_k,paired_win,50,0.7833333333333334,0.65,0.8958333333333334,40
full,prefix_mean,1,eligible_at_k,gap,50,1.4824467754048476,0.9117135071672959,2.0481664589688493,40
full,prefix_mean,2,eligible_at_k,paired_win,50,0.8333333333333334,0.7083333333333334,0.9416666666666668,40
full,prefix_mean,2,eligible_at_k,gap,50,1.7866417439677895,1.2390689269587063,2.352784399607837,40
full,prefix_mean,4,eligible_at_k,paired_win,49,0.7863247863247863,0.6623931623931624,0.9017094017094016,39
full,prefix_mean,4,eligible_at_k,gap,49,1.9913028796087946,1.411596633780969,2.606728555274917,39
full,prefix_mean,8,eligible_at_k,paired_win,43,0.8425925925925926,0.7219907407407408,0.9537037037037036,36
full,prefix_mean,8,eligible_at_k,gap,43,2.141186010248983,1.5139655309903843,2.720224487634859,36
history_mean,current,1,eligible_at_k,paired_win,50,0.5916666666666666,0.45,0.7292708333333329,40
history_mean,current,1,eligible_at_k,gap,50,0.39592909737576243,0.04575032331015316,0.7855441001700326,40
history_mean,current,2,eligible_at_k,paired_win,50,0.6291666666666667,0.4873958333333333,0.7666666666666666,40
history_mean,current,2,eligible_at_k,gap,50,0.49175307827512443,0.171135353263479,0.8541665356390259,40
history_mean,current,4,eligible_at_k,paired_win,49,0.8504273504273504,0.7478632478632478,0.9444444444444443,39
history_mean,current,4,eligible_at_k,gap,49,0.8903094860723093,0.5903062965796457,1.2201435730617225,39
history_mean,current,8,eligible_at_k,paired_win,43,0.8935185185185185,0.787037037037037,0.9768518518518517,36
history_mean,current,8,eligible_at_k,gap,43,1.6679448572929534,1.2168079327810624,2.1009067760703592,36
history_mean,prefix_mean,1,eligible_at_k,paired_win,50,0.5916666666666666,0.45,0.7292708333333329,40
history_mean,prefix_mean,1,eligible_at_k,gap,50,0.39592909737576243,0.04575032331015316,0.7855441001700326,40
history_mean,prefix_mean,2,eligible_at_k,paired_win,50,0.6291666666666667,0.4833333333333333,0.7626041666666661,40
history_mean,prefix_mean,2,eligible_at_k,gap,50,0.4438410878254434,0.10878007323642597,0.8198266428520693,40
history_mean,prefix_mean,4,eligible_at_k,paired_win,49,0.6965811965811965,0.5512820512820513,0.8247863247863247,39
history_mean,prefix_mean,4,eligible_at_k,gap,49,0.6107715729923835,0.3060965873934632,0.9387729464266433,39
history_mean,prefix_mean,8,eligible_at_k,paired_win,43,0.8657407407407407,0.75,0.9583333333333334,36
history_mean,prefix_mean,8,eligible_at_k,gap,43,1.0882143546506706,0.7794707589744411,1.3948787598264452,36
prompt_only,current,1,eligible_at_k,paired_win,50,0.7583333333333334,0.625,0.8833333333333334,40
prompt_only,current,1,eligible_at_k,gap,50,1.4823085296260061,0.8126238295868973,2.150150554734354,40
prompt_only,current,2,eligible_at_k,paired_win,50,0.8,0.675,0.9125,40
prompt_only,current,2,eligible_at_k,gap,50,1.7393033055389275,1.0362356701884805,2.455294383690616,40
prompt_only,current,4,eligible_at_k,paired_win,49,0.7735042735042735,0.6452991452991452,0.8847222222222216,39
prompt_only,current,4,eligible_at_k,gap,49,2.838713020904903,2.001721309834026,3.7488402708382464,39
prompt_only,current,8,eligible_at_k,paired_win,43,0.8287037037037037,0.6990740740740741,0.9351851851851853,36
prompt_only,current,8,eligible_at_k,gap,43,3.0838655295267645,2.1122636242281363,3.9926497931978115,36
prompt_only,prefix_mean,1,eligible_at_k,paired_win,50,0.7583333333333334,0.625,0.8833333333333334,40
prompt_only,prefix_mean,1,eligible_at_k,gap,50,1.4823085296260061,0.8126238295868973,2.150150554734354,40
prompt_only,prefix_mean,2,eligible_at_k,paired_win,50,0.8041666666666666,0.6791666666666666,0.9166666666666667,40
prompt_only,prefix_mean,2,eligible_at_k,gap,50,1.6108059175824667,1.0025518763327097,2.235763918774508,40
prompt_only,prefix_mean,4,eligible_at_k,paired_win,49,0.8247863247863247,0.7094017094017093,0.9316239316239315,39
prompt_only,prefix_mean,4,eligible_at_k,gap,49,2.20512044995669,1.5612389496949326,2.823462777087511,39
prompt_only,prefix_mean,8,eligible_at_k,paired_win,43,0.8101851851851851,0.6711805555555556,0.9259259259259258,36
prompt_only,prefix_mean,8,eligible_at_k,gap,43,2.665379720697234,1.9200053604784806,3.400608481593885,36
current_increment,current,1,same_pairs_all_k,paired_win,43,0.6527777777777778,0.5,0.7916666666666666,36
current_increment,current,1,same_pairs_all_k,gap,43,1.049539759467826,0.23156264353720193,1.8522723957205438,36
current_increment,current,2,same_pairs_all_k,paired_win,43,0.7407407407407407,0.5972222222222222,0.8703703703703703,36
current_increment,current,2,same_pairs_all_k,gap,43,1.367933666262945,0.605627299423072,2.1400771553464897,36
current_increment,current,4,same_pairs_all_k,paired_win,43,0.6018518518518517,0.4444444444444444,0.75,36
current_increment,current,4,same_pairs_all_k,gap,43,1.0674159531226595,0.0203968448957164,2.2902633112258743,36
current_increment,current,8,same_pairs_all_k,paired_win,43,0.5092592592592592,0.35648148148148145,0.662037037037037,36
current_increment,current,8,same_pairs_all_k,gap,43,0.6520078555460663,-0.09553261273076523,1.4442781330442225,36
current_increment,prefix_mean,1,same_pairs_all_k,paired_win,43,0.6527777777777778,0.5,0.7916666666666666,36
current_increment,prefix_mean,1,same_pairs_all_k,gap,43,1.049539759467826,0.23156264353720193,1.8522723957205438,36
current_increment,prefix_mean,2,same_pairs_all_k,paired_win,43,0.7546296296296295,0.6063657407407407,0.8796296296296295,36
current_increment,prefix_mean,2,same_pairs_all_k,gap,43,1.2087367128653854,0.4656201723727362,1.893724802981552,36
