method,aggregation,cells,sentences,mean,low,high,sources
current_increment,maximum,69,375,0.798751769064269,0.7229087405649905,0.8700624202186703,44
current_increment,mean,69,375,0.6741975038850039,0.5696250581016206,0.7646218321608945,44
current_increment,top4_mean,69,375,0.8379226676101676,0.7663256448412697,0.9015171243686869,44
full,maximum,69,375,0.8673375235875237,0.7989456810550561,0.9288890016233765,44
full,mean,69,375,0.8341509185259184,0.7504680735930735,0.905709203990454,44
full,top4_mean,69,375,0.8542266761016761,0.7858089393245643,0.9158891369047619,44
history_mean,maximum,69,375,0.8132143897768898,0.7268593299062048,0.8908791512307136,44
history_mean,mean,69,375,0.777257985070485,0.6868069343850594,0.8594746269355644,44
history_mean,top4_mean,69,375,0.8166415182040183,0.7303017815517817,0.8952774872696748,44
prompt_only,maximum,69,375,0.8798746392496392,0.8105136183261183,0.9411152822871571,44
prompt_only,mean,69,375,0.8377029220779221,0.7505451839826839,0.9141910173160173,44
prompt_only,top4_mean,69,375,0.8868281024531025,0.8150843253968254,0.9481894841269841,44
