method,aggregation,length_bin,sentences,sources,threshold,calibration_normal_sentences,positives,negatives,auroc,ap,recall,fpr
current_increment,maximum,all,1706,149,5.036913355598989,957,163,1543,0.7454723290220231,0.37854865033629154,0.3128834355828221,0.031756318859364877
current_increment,maximum,short_1_8,517,113,5.036913355598989,957,49,468,0.7179923251351823,0.3899616984802986,0.10204081632653061,0.004273504273504274
current_increment,maximum,medium_9_32,984,149,5.036913355598989,957,86,898,0.7806624540322163,0.3891974113522021,0.3953488372093023,0.03897550111358575
current_increment,maximum,long_33_plus,205,114,5.036913355598989,957,28,177,0.8083131557707829,0.5244940278944538,0.42857142857142855,0.06779661016949153
current_increment,mean,all,1706,149,0.9556962275538327,957,163,1543,0.5992509214381991,0.2123289057142777,0.18404907975460122,0.046662346079066754
current_increment,mean,short_1_8,517,113,0.9556962275538327,957,49,468,0.6172597244025814,0.30476400545674176,0.3877551020408163,0.13675213675213677
current_increment,mean,medium_9_32,984,149,0.9556962275538327,957,86,898,0.5985134925156679,0.24407096586287197,0.12790697674418605,0.008908685968819599
current_increment,mean,long_33_plus,205,114,0.9556962275538327,957,28,177,0.6771589991928976,0.36434016751368736,0.0,0.0
current_increment,top4_mean,all,1706,149,3.205702748240255,957,163,1543,0.7285027573565955,0.4080418575582065,0.3558282208588957,0.034348671419313026
current_increment,top4_mean,short_1_8,517,113,3.205702748240255,957,49,468,0.6419849991278563,0.3708604013100325,0.08163265306122448,0.0
current_increment,top4_mean,medium_9_32,984,149,3.205702748240255,957,86,898,0.7842233386854508,0.4511736668030018,0.4418604651162791,0.035634743875278395
current_increment,top4_mean,long_33_plus,205,114,3.205702748240255,957,28,177,0.8403954802259888,0.5581906604176534,0.5714285714285714,0.11864406779661017
full,maximum,all,1706,149,3.04245219257482,957,163,1543,0.8773960375175441,0.5531717182118894,0.4233128834355828,0.02462734931950745
full,maximum,short_1_8,517,113,3.04245219257482,957,49,468,0.9149223792080934,0.7474298901900112,0.2857142857142857,0.0
full,maximum,medium_9_32,984,149,3.04245219257482,957,86,898,0.872093023255814,0.5244887126144328,0.46511627906976744,0.02783964365256125
full,maximum,long_33_plus,205,114,3.04245219257482,957,28,177,0.8795399515738498,0.6018755067903272,0.5357142857142857,0.07344632768361582
full,mean,all,1706,149,-0.6172242229542529,957,163,1543,0.8817696384622419,0.6064325219289447,0.4171779141104294,0.016202203499675955
full,mean,short_1_8,517,113,-0.6172242229542529,957,49,468,0.9009244723530437,0.7766228464644179,0.6326530612244898,0.008547008547008548
full,mean,medium_9_32,984,149,-0.6172242229542529,957,86,898,0.873569171802973,0.5266715950837746,0.3488372093023256,0.021158129175946547
full,mean,long_33_plus,205,114,-0.6172242229542529,957,28,177,0.8652138821630347,0.5459624308584423,0.25,0.011299435028248588
full,top4_mean,all,1706,149,1.5038818909067737,957,163,1543,0.8801911661212919,0.5814776103137482,0.43558282208588955,0.020738820479585224
full,top4_mean,short_1_8,517,113,1.5038818909067737,957,49,468,0.9079452293738007,0.7756105966067939,0.2857142857142857,0.0
full,top4_mean,medium_9_32,984,149,1.5038818909067737,957,86,898,0.8762365981250323,0.5609614217140418,0.4883720930232558,0.022271714922048998
full,top4_mean,long_33_plus,205,114,1.5038818909067737,957,28,177,0.8985068603712671,0.6204115896172256,0.5357142857142857,0.06779661016949153
history_mean,maximum,all,1706,149,1.1415777005480066,957,163,1543,0.8532617123045299,0.5711991414301935,0.38650306748466257,0.013609850939727802
history_mean,maximum,short_1_8,517,113,1.1415777005480066,957,49,468,0.7978806907378336,0.5655191114866158,0.3673469387755102,0.004273504273504274
history_mean,maximum,medium_9_32,984,149,1.1415777005480066,957,86,898,0.8755114725229192,0.5777457028915114,0.38372093023255816,0.014476614699331848
history_mean,maximum,long_33_plus,205,114,1.1415777005480066,957,28,177,0.885996771589992,0.5082153360492739,0.42857142857142855,0.03389830508474576
history_mean,mean,all,1706,149,-0.05810885173039074,957,163,1543,0.8408247816181529,0.5257762281364242,0.27607361963190186,0.01101749837977965
history_mean,mean,short_1_8,517,113,-0.05810885173039074,957,49,468,0.7932583289726147,0.5735185909801325,0.4489795918367347,0.01282051282051282
history_mean,mean,medium_9_32,984,149,-0.05810885173039074,957,86,898,0.8611643445382504,0.512197865721194,0.20930232558139536,0.011135857461024499
history_mean,mean,long_33_plus,205,114,-0.05810885173039074,957,28,177,0.8553268765133172,0.5208438126873971,0.17857142857142858,0.005649717514124294
history_mean,top4_mean,all,1706,149,0.8586516481235322,957,163,1543,0.8489835353804437,0.5719529579339796,0.3803680981595092,0.012961762799740765
history_mean,top4_mean,short_1_8,517,113,0.8586516481235322,957,49,468,0.787981859410431,0.5662903317865495,0.3469387755102041,0.002136752136752137
history_mean,top4_mean,medium_9_32,984,149,0.8586516481235322,957,86,898,0.8734914797741753,0.573287709216613,0.38372093023255816,0.014476614699331848
history_mean,top4_mean,long_33_plus,205,114,0.8586516481235322,957,28,177,0.8876109765940274,0.5051173623412565,0.42857142857142855,0.03389830508474576
