population,weighting,method,tokens,sources,positives,negatives,auroc,ap
all,token,full,30470,149,2306,28164,0.8424716377485705,0.4309918353074911
all,token,history_mean,30470,149,2306,28164,0.8655941048052954,0.48955846166119193
all,token,current_increment,30470,149,2306,28164,0.5343481458433339,0.16220620986805695
all,token,prompt_only,30470,149,2306,28164,0.8690780354393107,0.5264092896017539
first_or_normal,token,full,28215,149,51,28164,0.7327327891815724,0.005526056042513554
first_or_normal,token,history_mean,28215,149,51,28164,0.5793420052298721,0.0022532001999738633
first_or_normal,token,current_increment,28215,149,51,28164,0.7339574091247065,0.008092680444864404
first_or_normal,token,prompt_only,28215,149,51,28164,0.6810669161855909,0.0041585817862411605
onset_or_normal,token,full,28247,149,83,28164,0.7851568181545953,0.01247225083017671
onset_or_normal,token,history_mean,28247,149,83,28164,0.6719827755846565,0.0062447378716149835
onset_or_normal,token,current_increment,28247,149,83,28164,0.7080892808558478,0.01179206471535886
onset_or_normal,token,prompt_only,28247,149,83,28164,0.7600760947496847,0.013206255388359197
continuation_or_normal,token,full,30387,149,2223,28164,0.8446115972745712,0.4308157862390443
continuation_or_normal,token,history_mean,30387,149,2223,28164,0.8728229578531194,0.4960189083820191
continuation_or_normal,token,current_increment,30387,149,2223,28164,0.5278611848869512,0.15646628098550872
continuation_or_normal,token,prompt_only,30387,149,2223,28164,0.8731478334947489,0.5294968431684112
all,positive_span_equal,full,30470,149,2306,28164,0.842757531616508,0.41165363629538526
all,positive_span_equal,history_mean,30470,149,2306,28164,0.8408742116480706,0.39846836636316874
all,positive_span_equal,current_increment,30470,149,2306,28164,0.5905770374746381,0.20537068833796787
all,positive_span_equal,prompt_only,30470,149,2306,28164,0.8572937304661632,0.47485136710926773
