condition,method,answers,mean,low,high,sources
answer,causal_ewma,52,0.007669849737594024,-0.00020397480821334583,0.015592869324587833,52
answer,current,52,0.0,0.0,0.0,52
answer,current_increment,52,-0.18833482608424995,-0.2265141732562354,-0.148736572961225,52
answer,past_ewma,52,-0.016625584487187893,-0.04056151855456316,0.001846087138149423,52
answer,past_mean,52,-0.05600681236047884,-0.09635820720382615,-0.02151944401842722,52
answer,prefix_mean,52,-0.24404638491000924,-0.31151197102631345,-0.17624158244322677,52
answer,previous,52,-0.018098140447238217,-0.036137439745259986,-0.006101930651407714,52
answer,sampled_past,52,-0.25771774796304164,-0.3108353939810134,-0.20058596472921703,52
past_score,causal_ewma,52,0.0061256928448865525,-0.0016464739365534995,0.013209810299169138,52
past_score,current,52,0.0,0.0,0.0,52
past_score,current_increment,52,-0.019211227214381715,-0.03369833557198717,-0.005450593166215176,52
past_score,past_ewma,52,-0.052830914700733526,-0.08133241069751111,-0.028659870098830198,52
past_score,past_mean,52,-0.22048530813913012,-0.2761691357971345,-0.1639512575440426,52
past_score,prefix_mean,52,-0.3788825389633035,-0.4714074908516926,-0.277668631071977,52
past_score,previous,52,-0.05491131877269514,-0.07679037105933531,-0.036989305457953155,52
past_score,sampled_past,52,-0.3745492470046023,-0.4470638119224119,-0.29439848452561224,52
previous_label,causal_ewma,52,-0.04435713378879348,-0.06629491994323855,-0.022071029498957822,52
previous_label,current,52,0.0,0.0,0.0,52
previous_label,current_increment,52,-0.0007246455952392492,-0.052142045140263084,0.04666717597481834,52
previous_label,past_ewma,52,-0.1882292317912024,-0.2529977706702209,-0.12536580534308245,52
previous_label,past_mean,52,-0.24386446215187932,-0.3116673554960768,-0.17407156730793755,52
previous_label,prefix_mean,52,-0.31579925923797253,-0.3927964162819768,-0.2353104138472625,52
previous_label,previous,52,-0.15247297555936437,-0.21261197075242377,-0.09521431268013397,52
previous_label,sampled_past,52,-0.3122738634970519,-0.37971373036924994,-0.24104538813666954,52
