condition,method,cells,tokens,mean,low,high,sources
answer,causal_ewma,52,11605,0.874482922672353,0.8301909996034054,0.9104251471475786,52
answer,current,52,11605,0.8668130729347587,0.8234447108572824,0.9039705491591999,52
answer,current_increment,52,11605,0.678478246850509,0.6361294610717714,0.7175072987653552,52
answer,past_ewma,52,11605,0.850187488447571,0.8048473061210583,0.8873703520386684,52
answer,past_mean,52,11605,0.8108062605742801,0.7608047940450269,0.8541844322055104,52
answer,prefix_mean,52,11605,0.6227666880247497,0.5549508762792522,0.6857259508304009,52
answer,previous,52,11605,0.8487149324875206,0.8054687190087216,0.8848922716116422,52
answer,sampled_past,52,11605,0.6090953249717171,0.5619067527067348,0.6542626168636789,52
past_score,causal_ewma,245,8699,0.8202518676630104,0.7727019082832225,0.864164681014275,52
past_score,current,245,8699,0.8141261748181239,0.7670723158735014,0.8584833138902701,52
past_score,current_increment,245,8699,0.7949149476037423,0.7472527167113576,0.8405167525880766,52
past_score,past_ewma,245,8699,0.7612952601173902,0.7168441113689537,0.8024574804471931,52
past_score,past_mean,245,8699,0.5936408666789937,0.552408419280991,0.6343642500768591,52
past_score,prefix_mean,245,8699,0.4352436358548205,0.3544824221986495,0.5193872526392502,52
past_score,previous,245,8699,0.7592148560454289,0.7164099429103112,0.8009368085914932,52
past_score,sampled_past,245,8699,0.43957692781352165,0.38530957924209697,0.4967953847999158,52
previous_label,causal_ewma,96,11362,0.7547711277944787,0.6992935418450731,0.8033615817913209,52
previous_label,current,96,11362,0.7991282615832721,0.7507789775460815,0.844130705278217,52
previous_label,current_increment,96,11362,0.7984036159880332,0.7318263509756388,0.8580469439093635,52
previous_label,past_ewma,96,11362,0.6108990297920699,0.5463068050385413,0.6737041886078546,52
previous_label,past_mean,96,11362,0.5552637994313929,0.4960971729608501,0.6143766501422554,52
previous_label,prefix_mean,96,11362,0.4833290023452997,0.4202263039794378,0.5457214380455152,52
previous_label,previous,96,11362,0.6466552860239078,0.5855421149606664,0.7048079824697747,52
previous_label,sampled_past,96,11362,0.48685439808622044,0.43080129664064026,0.5424965933586067,52
