method,measure,pairs,mean,low,high,sources
causal_ewma,error_mean_growth,50,0.09598118673949904,0.045591344612653184,0.14579440568376864,40
causal_ewma,normal_mean_growth,50,-0.003425271683518173,-0.030112356918053234,0.01994226212953721,40
causal_ewma,gap_growth,50,0.09940645842301721,0.03558637144888909,0.1671189854667636,40
causal_ewma,auroc_growth,50,0.0015083924539905618,-0.07082598409081066,0.08144345710696667,40
current,error_mean_growth,50,0.05788499979794519,0.004996903872306643,0.11132217448206472,40
current,normal_mean_growth,50,-0.008683694292229394,-0.0386167248492803,0.016002981822904376,40
current,gap_growth,50,0.06656869409017456,0.0025127427845152497,0.1359421809184207,40
current,auroc_growth,50,-0.028700041924087046,-0.09538509584731025,0.04012668216337711,40
current_increment,error_mean_growth,50,-0.0899804890963106,-0.14083633078785532,-0.03768097205266533,40
current_increment,normal_mean_growth,50,-0.021666012360952464,-0.05474153336278601,0.008416093989436203,40
current_increment,gap_growth,50,-0.06831447673535813,-0.1281992169529185,-0.0054549681954146854,40
current_increment,auroc_growth,50,-0.1377257667360928,-0.23328978076871565,-0.03467769300501562,40
past_ewma,error_mean_growth,50,0.1340773736810529,0.08336702301138807,0.18309890652569635,40
past_ewma,normal_mean_growth,50,0.0018331509251930638,-0.02592378994457107,0.026854565050386837,40
past_ewma,gap_growth,50,0.13224422275585984,0.06549894207006007,0.19934856793059322,40
past_ewma,auroc_growth,50,0.05244343327858721,-0.025983946370324536,0.140211811012292,40
past_mean,error_mean_growth,50,0.1478654888942558,0.09850935000706212,0.19553771182567636,40
past_mean,normal_mean_growth,50,0.01298231806872307,-0.009762320680067063,0.03896497883096134,40
past_mean,gap_growth,50,0.13488317082553272,0.07581898180007737,0.19097151527262435,40
past_mean,auroc_growth,50,0.07867473772466234,-0.0037756704347647915,0.1617226401827726,40
prefix_mean,error_mean_growth,50,0.02273121619161079,0.01738467892281625,0.0284320714460834,40
prefix_mean,normal_mean_growth,50,0.004461145587720374,0.0011132082612367482,0.00833994169672711,40
prefix_mean,gap_growth,50,0.01827007060389042,0.011690562506606009,0.024959027581177268,40
prefix_mean,auroc_growth,50,0.07647238616305682,0.001153296502829783,0.152393334771064,40
previous,error_mean_growth,50,0.11286098228434611,0.05821973351046207,0.16721582318653955,40
previous,normal_mean_growth,50,-0.002106597798991287,-0.03374759386893349,0.02548232615251688,40
previous,gap_growth,50,0.1149675800833374,0.045507191352905096,0.19090643120145354,40
previous,auroc_growth,50,0.032649990092873046,-0.04660481727765553,0.12406605434004411,40
sampled_past,error_mean_growth,50,0.022222300446788145,0.008816090331860317,0.035059623115969704,40
sampled_past,normal_mean_growth,50,0.0048154324734632145,-0.00012889303569887367,0.009472459858843237,40
sampled_past,gap_growth,50,0.017406867973324917,0.004776315887710146,0.029681588282637915,40
sampled_past,auroc_growth,50,0.0469397110665532,-0.015972567180273567,0.11057321560114433,40
