method,region,measure,pairs,mean,low,high,sources
causal_ewma,all,auroc,50,0.848532491774532,0.7639666439551599,0.9221085206979974,40
causal_ewma,all,gap,50,0.26547162714984684,0.20066270959852797,0.32565982480212713,40
causal_ewma,all,auc_change,50,0.01666898074535241,0.005603459922519044,0.028667517127424828,40
causal_ewma,all,gap_change,50,-0.016765286180073245,-0.024475712775707512,-0.009729022735971829,40
causal_ewma,back,auroc,50,0.8442536621585093,0.7472030176482498,0.9298898059814004,40
causal_ewma,back,gap,50,0.31318176667502884,0.23189075567514933,0.3911504657319694,40
causal_ewma,back,auc_change,50,0.030882531182006824,0.010579478251774218,0.05465420073188497,40
causal_ewma,back,gap_change,50,-0.0014026020379870603,-0.011100782666189291,0.007522688317680005,40
causal_ewma,front,auroc,50,0.8427452697045187,0.7481758370798643,0.9227996550650028,40
causal_ewma,front,gap,50,0.2137753082520116,0.15096691395398426,0.2729898305832726,40
causal_ewma,front,auc_change,50,0.0006740968039292153,-0.01873802996619056,0.01779569361013565,40
causal_ewma,front,gap_change,50,-0.0342403663708297,-0.046354145183466165,-0.022201558246758374,40
current,all,auroc,50,0.8318635110291794,0.7480143578484661,0.9029394813663552,40
current,all,gap,50,0.2822369133299201,0.21542313146466086,0.34526939693671943,40
current,all,auc_change,50,0.0,0.0,0.0,40
current,all,gap_change,50,0.0,0.0,0.0,40
current,back,auroc,50,0.8133711309765026,0.7182285897491457,0.8965244582292162,40
current,back,gap,50,0.3145843687130159,0.23118997236821193,0.39299496700595576,40
current,back,auc_change,50,0.0,0.0,0.0,40
current,back,gap_change,50,0.0,0.0,0.0,40
current,front,auroc,50,0.8420711729005894,0.7516481489817737,0.9181312307333802,40
current,front,gap,50,0.24801567462284133,0.18040551336802146,0.31031955880192924,40
current,front,auc_change,50,0.0,0.0,0.0,40
current,front,gap_change,50,0.0,0.0,0.0,40
current_increment,all,auroc,50,0.6688766481996529,0.5949769338239993,0.739256317195999,40
current_increment,all,gap,50,0.09934667023165275,0.06233159206856223,0.13545104608962197,40
current_increment,all,auc_change,50,-0.16298686282952649,-0.22288359661663684,-0.10005329101332883,40
current_increment,all,gap_change,50,-0.18289024309826735,-0.2349741566284197,-0.13088760705094282,40
current_increment,back,auroc,50,0.6001033738477058,0.5108359027986845,0.6877383382034978,40
current_increment,back,gap,50,0.06710424415243542,0.023887519970827414,0.11395891493455215,40
current_increment,back,auc_change,50,-0.21326775712879664,-0.290357922664219,-0.12864703744175018,40
current_increment,back,gap_change,50,-0.2474801245605805,-0.32081125393298715,-0.17549015694697842,40
current_increment,front,auroc,50,0.7378291405837987,0.6456460791099721,0.8200026688846148,40
current_increment,front,gap,50,0.13541872088779355,0.0849825195669416,0.18248834103135908,40
current_increment,front,auc_change,50,-0.10424203231679088,-0.1685096675827229,-0.04799454424078426,40
current_increment,front,gap_change,50,-0.11259695373504777,-0.15630176079138106,-0.07071981052568749,40
past_ewma,all,auroc,50,0.8279511804940196,0.7419903908925946,0.8981317280496874,40
past_ewma,all,gap,50,0.24870634096977354,0.18626136742628197,0.307328112388507,40
past_ewma,all,auc_change,50,-0.003912330535159941,-0.02697144030844664,0.017132067567110693,40
past_ewma,all,gap_change,50,-0.033530572360146525,-0.04895142555141505,-0.019458045471943675,40
past_ewma,back,auroc,50,0.8451375814109078,0.7487572774240697,0.9288979770326318,40
past_ewma,back,gap,50,0.31177916463704175,0.23016990021884182,0.38968264868801505,40
past_ewma,back,auc_change,50,0.031766450434405326,0.004507284863147676,0.06381734278196474,40
past_ewma,back,gap_change,50,-0.002805204075974144,-0.0222015653323786,0.015045376635359993,40
past_ewma,front,auroc,50,0.7926941481323206,0.6961286542657584,0.8830422074652856,40
past_ewma,front,gap,50,0.17953494188118188,0.12092115800388875,0.23618200255603128,40
past_ewma,front,auc_change,50,-0.049377024768268926,-0.11269484611995964,-0.0015070208049945536,40
past_ewma,front,gap_change,50,-0.06848073274165942,-0.09270829036693232,-0.04440311649351675,40
past_mean,all,auroc,50,0.8001180417634078,0.7101041487798097,0.8785431590130979,40
past_mean,all,gap,50,0.18289024309826735,0.13088760705094277,0.23497415662841975,40
past_mean,all,auc_change,50,-0.031745469265771646,-0.08473698503600902,0.01632789729969911,40
past_mean,all,gap_change,50,-0.09934667023165275,-0.1354510460896219,-0.0623315920685622,40
past_mean,back,auroc,50,0.843512974252298,0.745210897758074,0.9295830112543181,40
past_mean,back,gap,50,0.2474801245605805,0.1754901569469784,0.3208112539329871,40
past_mean,back,auc_change,50,0.030141843275795492,-0.029188732304218177,0.08726641352151696,40
past_mean,back,gap_change,50,-0.06710424415243539,-0.11395891493455218,-0.023887519970827404,40
past_mean,front,auroc,50,0.7648382365276357,0.6614495771107648,0.8567975024921013,40
past_mean,front,gap,50,0.11259695373504779,0.07071981052568745,0.15630176079138097,40
past_mean,front,auc_change,50,-0.07723293637295389,-0.14939665450258383,-0.009696344054401196,40
past_mean,front,gap_change,50,-0.13541872088779355,-0.18248834103135916,-0.08498251956694157,40
prefix_mean,all,auroc,50,0.848647407448332,0.7592034867071213,0.929851722622735,40
prefix_mean,all,gap,50,0.024006961877254575,0.015695163139136607,0.03236953851228567,40
prefix_mean,all,auc_change,50,0.016783896419152587,-0.08824529707718529,0.13028506968194384,40
prefix_mean,all,gap_change,50,-0.2582299514526655,-0.319311195830474,-0.19319125372073093,40
prefix_mean,back,auroc,50,0.8793806447402481,0.7913333061526092,0.9554708244701332,40
