method,population,eligible,sources,tokens,positives,negatives,auroc,ap
current,all,30619,149,30470,2306,28164,0.8841517925056228,0.5227626345970311
previous,all,30619,149,30470,2306,28164,0.8790692152136297,0.5138998360519317
past_mean,all,30619,149,30470,2306,28164,0.8704462682518807,0.48679898504751296
past_ewma,all,30619,149,30470,2306,28164,0.882431629855266,0.5188728260302733
causal_ewma,all,30619,149,30470,2306,28164,0.8891158408937467,0.5322679792298849
current_increment,all,30619,149,30470,2306,28164,0.618870971695581,0.16483119573903127
prefix_mean,all,30619,149,30470,2306,28164,0.7969488091863874,0.29324200566909125
sampled_past,all,30619,149,30470,2306,28164,0.7716484158638174,0.2655367104648791
current,first_or_normal,28364,149,28215,51,28164,0.794698627924398,0.0052271822680602835
previous,first_or_normal,28364,149,28215,51,28164,0.6432756599302127,0.002815109294036524
past_mean,first_or_normal,28364,149,28215,51,28164,0.5623121994146332,0.002086902624302408
past_ewma,first_or_normal,28364,149,28215,51,28164,0.6258531959865326,0.0026368875905939935
causal_ewma,first_or_normal,28364,149,28215,51,28164,0.7488916458502163,0.004041138128917049
current_increment,first_or_normal,28364,149,28215,51,28164,0.8096311241440192,0.021546742733031532
prefix_mean,first_or_normal,28364,149,28215,51,28164,0.49447284950054443,0.0017340506467504973
sampled_past,first_or_normal,28364,149,28215,51,28164,0.506075061753149,0.001733765063387093
current,onset_or_normal,28396,149,28247,83,28164,0.8426719233131931,0.013112481759027614
previous,onset_or_normal,28396,149,28247,83,28164,0.7361551018731938,0.007663319523233092
past_mean,onset_or_normal,28396,149,28247,83,28164,0.6779966050824517,0.006654992164843268
past_ewma,onset_or_normal,28396,149,28247,83,28164,0.7220364200731344,0.0072934486232140786
causal_ewma,onset_or_normal,28396,149,28247,83,28164,0.8115384417944466,0.010398675518069219
current_increment,onset_or_normal,28396,149,28247,83,28164,0.7665288336986634,0.027342021902345387
prefix_mean,onset_or_normal,28396,149,28247,83,28164,0.6449231095665149,0.006279132678226682
sampled_past,onset_or_normal,28396,149,28247,83,28164,0.6484373796849092,0.005944052514318376
current,continuation_or_normal,30535,149,30387,2223,28164,0.8857005235640897,0.5249446664267694
previous,continuation_or_normal,30535,149,30387,2223,28164,0.8844051897558054,0.5197282275816492
past_mean,continuation_or_normal,30535,149,30387,2223,28164,0.8776317482532583,0.4927691863835332
past_ewma,continuation_or_normal,30535,149,30387,2223,28164,0.8884202949078603,0.525190131746371
causal_ewma,continuation_or_normal,30535,149,30387,2223,28164,0.8920123429743775,0.5365534574398143
current_increment,continuation_or_normal,30535,149,30387,2223,28164,0.6133578801318132,0.1547368807271946
prefix_mean,continuation_or_normal,30535,149,30387,2223,28164,0.8026249824065624,0.2929135279169715
sampled_past,continuation_or_normal,30535,149,30387,2223,28164,0.7762487379523685,0.26465810815982466
current,previous_normal,28173,149,28173,78,28095,0.8377674647829481,0.012185408008073216
previous,previous_normal,28173,149,28173,78,28095,0.7266221291314725,0.006762911580127897
past_mean,previous_normal,28173,149,28173,78,28095,0.6711254397853437,0.005646166967343325
past_ewma,previous_normal,28173,149,28173,78,28095,0.7137016806530955,0.006355538408242617
causal_ewma,previous_normal,28173,149,28173,78,28095,0.8053559124034297,0.009365772265599644
current_increment,previous_normal,28173,149,28173,78,28095,0.7926832495972913,0.028373513261834862
prefix_mean,previous_normal,28173,149,28173,78,28095,0.6342195207651694,0.00574437323707145
sampled_past,previous_normal,28173,149,28173,78,28095,0.6383086688479107,0.005352418094832931
current,previous_error,2297,52,2297,2228,69,0.7409973200114486,0.9896539402619251
previous,previous_error,2297,52,2297,2228,69,0.6218744308276741,0.9831022487886791
past_mean,previous_error,2297,52,2297,2228,69,0.48676918273358827,0.9719670827995848
past_ewma,previous_error,2297,52,2297,2228,69,0.5619909973200115,0.9791065044061318
causal_ewma,previous_error,2297,52,2297,2228,69,0.6663739494705072,0.9860856926798056
current_increment,previous_error,2297,52,2297,2228,69,0.8519826711419874,0.9938156256146563
prefix_mean,previous_error,2297,52,2297,2228,69,0.4533799078916556,0.9667904168628141
sampled_past,previous_error,2297,52,2297,2228,69,0.4522740873728307,0.9690758800336129
