model,condition,mixed_cells,tokens,positives,negatives,mean,low,high,sources
raw_mean,previous,96,11362,2070,9292,0.6808276583030958,0.6118987120008839,0.7408018447113609,52
raw_mean,context,108,1591,431,1160,0.6906804401043468,0.6006745023764609,0.7725058161969497,51
diagonal,previous,96,11362,2070,9292,0.6952548593828778,0.6375433912189704,0.7467572613464213,52
diagonal,context,108,1591,431,1160,0.6839245229512607,0.6135681058992314,0.746670917402588,51
layer_block,previous,96,11362,2070,9292,0.73828247001952,0.6747505706895199,0.7967776948062288,52
layer_block,context,108,1591,431,1160,0.7773541143809366,0.7058789344881687,0.8408241427874965,51
full,previous,96,11362,2070,9292,0.7575481225344312,0.6973112118534848,0.8127286347715339,52
full,context,108,1591,431,1160,0.806211277198654,0.745604443486121,0.8595272277211268,51
layer_mean,previous,96,11362,2070,9292,0.6537560254111807,0.5892017069919501,0.7109357068673269,52
layer_mean,context,108,1591,431,1160,0.5992957923774745,0.5260909965612217,0.668461165840604,51
head_contrast,previous,96,11362,2070,9292,0.7500251775402251,0.6894504403104176,0.8050539063577403,52
head_contrast,context,108,1591,431,1160,0.7877286082975061,0.7240225478151077,0.8445936628762842,51
unordered_heads,previous,96,11362,2070,9292,0.6620843468887977,0.5904285952119628,0.7263580431366732,52
unordered_heads,context,108,1591,431,1160,0.6485192131390726,0.5630374390178176,0.7272778730872542,51
matched_support,previous,96,11362,2070,9292,0.7341901241113352,0.6718673014564004,0.7913351527435796,52
matched_support,context,108,1591,431,1160,0.7844679760094738,0.7198557931924437,0.8403905351079624,51
balanced_context,previous,96,11362,2070,9292,0.7793249180274717,0.7277176301389304,0.8284516043986315,52
balanced_context,context,108,1591,431,1160,0.7903999925346857,0.7238960561777552,0.8518596857818027,51
part_direct,previous,96,11362,2070,9292,0.6952548593828778,0.6375433912189704,0.7467572613464213,52
part_direct,context,108,1591,431,1160,0.6839245229512607,0.6135681058992314,0.746670917402588,51
part_same_layer,previous,96,11362,2070,9292,0.40337240388362267,0.34158270013813563,0.4685987719408547,52
part_same_layer,context,108,1591,431,1160,0.40855604532286477,0.3254878751890699,0.4966028694519972,51
part_cross_layer,previous,96,11362,2070,9292,0.33868679351246556,0.28474521776617767,0.397246451541997,52
part_cross_layer,context,108,1591,431,1160,0.36783396387726774,0.2968565643528347,0.4446903865673671,51
part_layer_common,previous,96,11362,2070,9292,0.46720014430530743,0.42458865190639067,0.5115894148416895,52
part_layer_common,context,108,1591,431,1160,0.5116324135796764,0.44769884208795324,0.5820260750492907,51
part_head_contrast,previous,96,11362,2070,9292,0.5442174894300156,0.4981654212006245,0.5885694427065996,52
part_head_contrast,context,108,1591,431,1160,0.5039697393761899,0.43213236909915187,0.5673874808559162,51
history_mean,previous,96,11362,2070,9292,0.5536138804501177,0.4867645108099408,0.6162941017824788,52
history_mean,context,108,1586,431,1155,0.5669568856097515,0.47857896086777235,0.6528295415677599,51
current_increment,previous,96,11362,2070,9292,0.7396950831265721,0.6741945288616509,0.7996219316627347,52
current_increment,context,108,1586,431,1155,0.7535116792266473,0.6808853957118348,0.8161193514127023,51
prompt_only,previous,96,11362,2070,9292,0.7129910334176015,0.6526349378413858,0.7706424109614611,52
prompt_only,context,108,1591,431,1160,0.7557433256380225,0.6856915538398893,0.8165597026353997,51
prompt_predicted_full,previous,96,11362,2070,9292,0.7355574193000497,0.6720005744542927,0.7936174179397486,52
prompt_predicted_full,context,108,1591,431,1160,0.7654206087,0.6976834321230762,0.8290454920691233,51
full_unexplained_by_prompt,previous,96,11362,2070,9292,0.6114194880704983,0.546304268810754,0.6754749310672739,52
full_unexplained_by_prompt,context,108,1591,431,1160,0.6088194741476922,0.5299512930835065,0.6818029795090964,51
self_after_prompt_regression,previous,96,11362,2070,9292,0.6235616939599418,0.5523402010609062,0.6900888518136067,52
self_after_prompt_regression,context,108,1591,431,1160,0.6087613194269605,0.5269474244720752,0.6863069328386046,51
self_plus_prompt,previous,96,11362,2070,9292,0.7525743441084697,0.6928640772794902,0.8068875946287547,52
self_plus_prompt,context,108,1591,431,1160,0.791800289292585,0.7230842217680697,0.8508477904647874,51
