model,region,units,mean,low,high,sources
raw_mean,all,50,0.7032340898641678,0.6403846471658702,0.7648899447324398,40
diagonal,all,50,0.7338709403713392,0.6695710704656526,0.7954695479537065,40
layer_block,all,50,0.7837355991092994,0.7126054276018275,0.8460611577848444,40
full,all,50,0.7889881167949786,0.7149272100715245,0.8525746046858415,40
layer_mean,all,50,0.6722652433324006,0.6102897820840358,0.7291996358862766,40
head_contrast,all,50,0.7939503102203715,0.7204034601961524,0.8581544342938797,40
unordered_heads,all,50,0.7503809471792872,0.6830970649282133,0.8119771183459261,40
matched_support,all,50,0.7814915537657562,0.7134475026749019,0.8433609185908366,40
balanced_context,all,50,0.7120137277084687,0.648846487790075,0.7718632718944017,40
part_direct,all,50,0.7338709403713392,0.6695710704656526,0.7954695479537065,40
part_same_layer,all,50,0.38648953229711686,0.33465829137610154,0.4474308591876407,40
part_cross_layer,all,50,0.2823515732994074,0.22379896950866313,0.34215656985171855,40
part_layer_common,all,50,0.48352247692432115,0.4529060892064512,0.5108770938513936,40
part_head_contrast,all,50,0.5339048810672355,0.5088592808349094,0.5610833597826737,40
history_mean,all,50,0.7825206046550113,0.6949004922146058,0.8552098900059991,40
current_increment,all,50,0.6185275678936974,0.5695033281914841,0.6727973320769636,40
prompt_only,all,50,0.8332518701437248,0.7668533986970036,0.8899074007599865,40
prompt_predicted_full,all,50,0.8056166470049639,0.73701683295588,0.8667803828231111,40
full_unexplained_by_prompt,all,50,0.576281794683803,0.5361266062764323,0.6147821295881347,40
self_after_prompt_regression,all,50,0.5621180445131755,0.5049110488285679,0.6134560398560434,40
self_plus_prompt,all,50,0.8389378269781765,0.7718537217856725,0.8937854472196475,40
raw_mean,front,50,0.7511734111256243,0.672635158216971,0.8244923158269526,40
diagonal,front,50,0.7449445181815897,0.6669115584325789,0.8173836890397288,40
layer_block,front,50,0.8075974245784234,0.7290927935869921,0.8770036856533604,40
full,front,50,0.806627682392058,0.7290952847902736,0.872659753701945,40
layer_mean,front,50,0.6831943241326469,0.6197049887693021,0.7496191026717506,40
head_contrast,front,50,0.8117226435944547,0.7362321686381884,0.8754180357630459,40
unordered_heads,front,50,0.7479061454381779,0.6622136655448065,0.8273879087474175,40
matched_support,front,50,0.7883314385198446,0.7137042828239126,0.855658889666525,40
balanced_context,front,50,0.7484939228437664,0.6784177938197999,0.8134067295214833,40
part_direct,front,50,0.7449445181815897,0.6669115584325789,0.8173836890397288,40
part_same_layer,front,50,0.36413163464898063,0.30193934232636843,0.4354972185332244,40
part_cross_layer,front,50,0.2728263761098927,0.20042694349683518,0.34895034617853327,40
part_layer_common,front,50,0.4612139842712252,0.4149276557231737,0.5107436541347974,40
part_head_contrast,front,50,0.5516686064383712,0.505328454272625,0.5949521122143872,40
history_mean,front,50,0.7100514104725519,0.598395466197746,0.8087809938072162,40
current_increment,front,50,0.6893580071879468,0.6099122598760862,0.7643503657058923,40
prompt_only,front,50,0.8240035907289176,0.7546524190764323,0.8823158622202849,40
prompt_predicted_full,front,50,0.798954475887297,0.7160779689596939,0.8715984770181321,40
full_unexplained_by_prompt,front,50,0.5782697568251239,0.5094759882133493,0.6439719337648899,40
self_after_prompt_regression,front,50,0.5581489675515389,0.4921507030627822,0.6200289357491754,40
self_plus_prompt,front,50,0.8436252746037056,0.7776079604326451,0.8994254722354966,40
raw_mean,back,50,0.670088436673231,0.5954054556215043,0.74465278537808,40
diagonal,back,50,0.74089533729254,0.6735840058124246,0.8071299519092164,40
layer_block,back,50,0.7708933360954422,0.689720827003609,0.8466105200276438,40
full,back,50,0.7792567621980273,0.6982750648649604,0.8534291442734708,40
layer_mean,back,50,0.6637208758767016,0.5886208527207399,0.7347982412527366,40
head_contrast,back,50,0.7848349797645952,0.7023977720683691,0.8595788439396043,40
unordered_heads,back,50,0.7451806945347312,0.6705164761001502,0.8132365960276221,40
matched_support,back,50,0.7759193758477915,0.6927868775291322,0.8516781862597038,40
balanced_context,back,50,0.6808190517519057,0.6046296281235534,0.7541354688368138,40
part_direct,back,50,0.74089533729254,0.6735840058124246,0.8071299519092164,40
part_same_layer,back,50,0.40226164322033303,0.3445431560766901,0.4674010775750018,40
part_cross_layer,back,50,0.2868852477109061,0.21969104548204216,0.3514957240530979,40
part_layer_common,back,50,0.5080174202678276,0.45613034567401867,0.5586060121514874,40
part_head_contrast,back,50,0.5081842330544104,0.4592172306700996,0.5587088002443025,40
history_mean,back,50,0.8462399046048972,0.7540085512434271,0.924655527796518,40
current_increment,back,50,0.5514634126014928,0.48253958201207736,0.6248694983654345,40
prompt_only,back,50,0.8420934157154113,0.7617919670849412,0.9084737347433645,40
prompt_predicted_full,back,50,0.8132269164678434,0.7352596411613558,0.8832796432744526,40
full_unexplained_by_prompt,back,50,0.5751621575931212,0.5211511424061784,0.630996830318498,40
self_after_prompt_regression,back,50,0.5659918327475285,0.5011231583511394,0.6278232020931983,40
self_plus_prompt,back,50,0.8453352331186702,0.7664818584195401,0.9124275925564785,40
