model,population,tokens,positives,negatives,auroc,ap,tp,fp,fn,tn,recall,fpr
raw_mean,all,30619,2307,28312,0.7237113160886195,0.2290740093289412,428,866,1879,27446,0.18552232336367577,0.03058773664877084
raw_mean,answer_first,28364,52,28312,0.6757626556828308,0.003186660548122054,0,866,52,27446,0.0,0.03058773664877084
raw_mean,continuation,30535,2223,28312,0.7246606542330134,0.2274804779199157,425,866,1798,27446,0.19118308591992803,0.03058773664877084
raw_mean,previous_normal,28173,78,28095,0.7041571408362653,0.0060605832378818805,3,863,75,27232,0.038461538461538464,0.030717209467876847
raw_mean,previous_error,2297,2228,69,0.7079072671922566,0.9869805226072841,425,3,1803,66,0.19075403949730702,0.043478260869565216
diagonal,all,30619,2307,28312,0.7617415110565006,0.28121640968198497,587,928,1720,27384,0.25444299956653665,0.032777620796835265
diagonal,answer_first,28364,52,28312,0.7003594561697133,0.004946062330606495,7,928,45,27384,0.1346153846153846,0.032777620796835265
diagonal,continuation,30535,2223,28312,0.7636026211114327,0.28020694530788215,575,928,1648,27384,0.258659469185785,0.032777620796835265
diagonal,previous_normal,28173,78,28095,0.7199237020913476,0.007118656491398809,12,926,66,27169,0.15384615384615385,0.03295960135255384
diagonal,previous_error,2297,2228,69,0.7033408789321677,0.987423717793446,575,2,1653,67,0.2580789946140036,0.028985507246376812
layer_block,all,30619,2307,28312,0.8179076132654245,0.34900611089956757,649,805,1658,27507,0.2813177286519289,0.02843317321277197
layer_block,answer_first,28364,52,28312,0.7112076694850783,0.005176820802837133,6,805,46,27507,0.11538461538461539,0.02843317321277197
layer_block,continuation,30535,2223,28312,0.8205584212521944,0.3485824268041738,639,805,1584,27507,0.2874493927125506,0.02843317321277197
layer_block,previous_normal,28173,78,28095,0.7559616867678801,0.008764954406022072,10,803,68,27292,0.1282051282051282,0.028581598149136855
layer_block,previous_error,2297,2228,69,0.7603556839174668,0.9902299894449449,639,2,1589,67,0.2868043087971275,0.028985507246376812
full,all,30619,2307,28312,0.8427353026949811,0.4307503734951536,778,629,1529,27683,0.3372345036844387,0.022216727889234247
full,answer_first,28364,52,28312,0.7231678059860456,0.005458689272309659,6,629,46,27683,0.11538461538461539,0.022216727889234247
full,continuation,30535,2223,28312,0.8451509794403267,0.4307253968661664,766,629,1457,27683,0.34457939721097613,0.022216727889234247
full,previous_normal,28173,78,28095,0.7774706695689076,0.011758784622878373,12,626,66,27469,0.15384615384615385,0.02228154475885389
full,previous_error,2297,2228,69,0.7563942445294409,0.9895683068007084,766,3,1462,66,0.34380610412926393,0.043478260869565216
layer_mean,all,30619,2307,28312,0.6976095548359337,0.1959238217183578,401,1004,1906,27308,0.17381881231035978,0.03546199491381746
