model,region,pairs,auc_delta_mean,auc_delta_low,auc_delta_high,auc_delta_sources,gap_delta_mean,gap_delta_low,gap_delta_high,gap_delta_sources
raw_mean,all,50,-0.08575402693081077,-0.12089897707284446,-0.04965555455158788,40,-2.2956334992358025,-2.778984437570045,-1.7893925645916826,40
raw_mean,back,50,-0.10916832552479634,-0.15765994700403538,-0.05752072847457746,40,-2.407850145746739,-3.019487431514702,-1.7839298660823284,40
raw_mean,front,50,-0.05545427126643371,-0.10392812617154895,-0.01103709542617553,40,-2.205876332643703,-2.757088728685085,-1.6313956109467178,40
diagonal,all,50,-0.05511717642363958,-0.08421153744768495,-0.025744006565514777,40,14.765430702034692,11.033484560227055,18.259012578295494,40
diagonal,back,50,-0.038361424905487454,-0.07825802608256593,0.007535199732971504,40,15.461169467555766,10.682280582641495,20.304141093696558,40
diagonal,front,50,-0.06168316421046828,-0.09684429590123644,-0.027504441691371152,40,14.124430634562334,9.783655663181992,18.441639699804877,40
layer_block,all,50,-0.005252517685679279,-0.02824545310377491,0.019143939067527507,40,9.497888158886335,7.217199220264404,11.70005872526394,40
layer_block,back,50,-0.008363426102585184,-0.03928065015818548,0.023180119581374024,40,9.662199317259175,6.927139056512325,12.60461537538482,40
layer_block,front,50,0.0009697421863653965,-0.03161048365870609,0.033750789447837645,40,9.414585923671758,6.9640695078179515,11.884320294628782,40
full,all,50,0.0,0.0,0.0,40,0.0,0.0,0.0,40
full,back,50,0.0,0.0,0.0,40,0.0,0.0,0.0,40
full,front,50,0.0,0.0,0.0,40,0.0,0.0,0.0,40
layer_mean,all,50,-0.11672287346257808,-0.15186748145928988,-0.07973675623346235,40,-1.843025357523419,-2.2526219394839653,-1.415997396318199,40
layer_mean,back,50,-0.11553588632132579,-0.16260729612179137,-0.067131122189753,40,-1.9662241246585714,-2.474949196211379,-1.4587400490664566,40
layer_mean,front,50,-0.12343335825941111,-0.1818306512495067,-0.06556306742677882,40,-1.7439026337381818,-2.210212788386706,-1.2770977028188546,40
head_contrast,all,50,0.004962193425392951,-0.004655254515907242,0.015619485867480725,40,-0.04873925104685719,-0.10568750931165859,-0.000910786307599988,40
head_contrast,back,50,0.005578217566567864,-0.009347407664557552,0.022917101035143047,40,-0.024634383609685135,-0.079126585330475,0.029790427557486763,40
head_contrast,front,50,0.005094961202396726,-0.012437385856771569,0.02373196059681862,40,-0.07436334182924134,-0.1582571619514352,-0.005395147480313646,40
unordered_heads,all,50,-0.03860716961569153,-0.07167991382022883,-0.005014506129599479,40,-1.0152436840132506,-1.2953262060104738,-0.7276425076899149,40
unordered_heads,back,50,-0.034076067663296225,-0.08075719474816515,0.01748002384339071,40,-1.1231251786146188,-1.505095382366653,-0.7597854346215247,40
unordered_heads,front,50,-0.058721536953880125,-0.11271857289691078,-0.006076184295205285,40,-0.9242387071762355,-1.281643897081675,-0.5779707300385812,40
matched_support,all,50,-0.0074965630292224885,-0.016935990339977548,0.0016469837227476687,40,0.09420318760050492,0.029570467806047447,0.15792794746367012,40
matched_support,back,50,-0.0033373863502359075,-0.014164008711805903,0.006593720016044907,40,0.11721434253448296,0.03917008518423174,0.2091431636423849,40
matched_support,front,50,-0.01829624387221348,-0.03468002518830359,-0.00349004829308199,40,0.07099820129454233,-0.041581755082584,0.18681134235028235,40
balanced_context,all,50,-0.07697438908650997,-0.11046811105134882,-0.045975070864126354,40,-0.6860537711404392,-0.9047483925259474,-0.46709949631118153,40
balanced_context,back,50,-0.09843771044612175,-0.13476048845992725,-0.06588379114246301,40,-0.9103228580797638,-1.2095840839174086,-0.5987884487753657,40
balanced_context,front,50,-0.05813375954829163,-0.10388187776079881,-0.015714180581681888,40,-0.4467364604963208,-0.7064718850950256,-0.17064054166875778,40
part_direct,all,50,-0.05511717642363958,-0.08421153744768495,-0.025744006565514777,40,14.765430702034688,11.033484560227052,18.259012578295497,40
part_direct,back,50,-0.038361424905487454,-0.07825802608256593,0.007535199732971504,40,15.461169467555763,10.682280582641495,20.304141093696558,40
part_direct,front,50,-0.06168316421046828,-0.09684429590123644,-0.027504441691371152,40,14.124430634562335,9.783655663181998,18.441639699804877,40
part_same_layer,all,50,-0.4024985844978618,-0.5048015517144356,-0.2854029128682215,40,-3.4992265191323186,-4.306858772165691,-2.5656039806834237,40
part_same_layer,back,50,-0.37699511897769433,-0.4871622931979123,-0.25105093311997445,40,-3.4526639667257983,-4.423251874707119,-2.4452870120463146,40
part_same_layer,front,50,-0.44249604774307744,-0.5563634361529545,-0.3116018742403798,40,-3.576775135915612,-4.622771260423726,-2.473982924762585,40
part_cross_layer,all,50,-0.5066365434955713,-0.6240121510123143,-0.3777941411799151,40,-15.924550444351894,-19.610148656978417,-12.13345790798195,40
part_cross_layer,back,50,-0.49237151448712135,-0.6226338619816928,-0.3537926406892699,40,-16.88157731244173,-21.934937764394622,-11.873552994093545,40
part_cross_layer,front,50,-0.5338013062821652,-0.6634212485213644,-0.38746605350414465,40,-15.037807174231997,-19.369639779041375,-10.571897588270254,40
part_layer_common,all,50,-0.30546563987065756,-0.3685698720745671,-0.2389885229181178,40,-5.010580638835014,-13.026722526916378,3.5778946579077924,40
part_layer_common,back,50,-0.2712393419301997,-0.3531593975808548,-0.18805485421317408,40,1.984101271439758,-8.15972434741387,11.843939956590729,40
