population,phase,total,measured,alarms,fraction
all,before,84,82,10,0.12195121951219512
all,onset,84,84,5,0.05952380952380952
all,first4,84,83,22,0.26506024096385544
all,span,84,84,51,0.6071428571428571
clean_before,before,75,73,6,0.0821917808219178
clean_before,onset,75,75,4,0.05333333333333334
clean_before,first4,75,74,19,0.25675675675675674
clean_before,span,75,75,45,0.6
answer_first,before,52,50,0,0.0
answer_first,onset,52,52,0,0.0
answer_first,first4,52,51,10,0.19607843137254902
answer_first,span,52,52,30,0.5769230769230769
run_onsets,before,79,77,7,0.09090909090909091
run_onsets,onset,79,79,5,0.06329113924050633
run_onsets,first4,79,78,20,0.2564102564102564
run_onsets,span,79,79,48,0.6075949367088608
