population,phase,total,measured,alarms,fraction
all,before,84,82,19,0.23170731707317074
all,onset,84,84,12,0.14285714285714285
all,first4,84,83,38,0.4578313253012048
all,span,84,84,70,0.8333333333333334
clean_before,before,75,73,14,0.1917808219178082
clean_before,onset,75,75,11,0.14666666666666667
clean_before,first4,75,74,36,0.4864864864864865
clean_before,span,75,75,63,0.84
answer_first,before,52,50,6,0.12
answer_first,onset,52,52,6,0.11538461538461539
answer_first,first4,52,51,22,0.43137254901960786
answer_first,span,52,52,44,0.8461538461538461
run_onsets,before,79,77,16,0.2077922077922078
run_onsets,onset,79,79,12,0.1518987341772152
run_onsets,first4,79,78,37,0.47435897435897434
run_onsets,span,79,79,67,0.8481012658227848
