unit,layer,head,receiver,source,attention_mass,value_energy,message_norm,final_linear_support,linear_metric,strength,selection,dose,treatment,next_margin,correct_first_logp,wrong_first_logp,next_top1,candidate_first_ids,raw_native_next_margin,lm_head_rounding_error,first_metric,vocabulary_kl_from_full,correct_token_logps,correct_logp,correct_mean_logp,correct_tokens,correct_branch_first_error,wrong_token_logps,wrong_logp,wrong_mean_logp,wrong_tokens,wrong_branch_first_error,sequence_margin,mean_margin,tail_margin,first_support,sequence_support,linear_prediction,case_id,source_id,side,panel,gradient_finite_disagreement
L17H18Q468S467,17,18,468,467,0.625,22.2255859375,1.6876200437545776,0.8902066946029663,sequence_margin,0.8902066946029663,signed_gradient,1.0,cut,5.298187255859375,-0.1142833641433542,-5.412470620002729,19079,"[19079, 264]",5.25,0.0594863891601562,same_prefix_fp32_head_float64_log_softmax,0.0027572431389719,"[-0.1142833641433542, -1.4805436876018154, -0.34468539642801893, -0.08431489339841779, -0.03815291902273565, -0.0005049833731369855, -0.000220367067043237, -0.35622230780678865, -0.35205068159053404, -0.3662260932719987]",-3.137204693703844,-0.3137204693703843,10,0.0012969238723868,"[-5.412470620002729, -1.5230373492077152, -8.060578959790028e-05, -0.244659334712389, -1.0669135489506396, -1.3995195837194372, -0.0002700578550776856, -0.014926375832401988, -4.760912847061336e-06, -0.00030708214385097, -1.680225381893133e-05]",-9.662206121380503,-0.8783823746709548,11,-0.0559439357594326,6.52500142767666,0.5646619053005705,1.226814171817285,1.1134757995605469,1.1189868807939316,0.8902066946029663,14315_headwear_scope,14315,supported,natural,False
L14H26Q261S260,14,26,261,260,0.6796875,13.607864379882812,1.723900556564331,-1.4214173555374146,sequence_margin,1.4214173555374146,signed_gradient,1.0,cut,6.384822845458984,-0.093808664356928,-6.478631509815912,19079,"[19079, 264]",6.375,0.0560340881347656,same_prefix_fp32_head_float64_log_softmax,6.349375085489334e-05,"[-0.09380866435692806, -1.4997632622196189, -0.3587568444155913, -0.08690068684191284, -0.03531115475776879, -0.0005001019248910528, -0.0002280701949732035, -0.36495780643575987, -0.35222686569164163, -0.3742747502269243]",-3.16672820706601,-0.316672820706601,10,0.0033651402300834,"[-6.478631509815912, -1.55385513033267, -8.199929999490718e-05, -0.2443718838352242, -1.1845141118672478, -2.8607937193211708, -0.0004366514107424893, -0.023302685755281494, -5.854821227070942e-06, -0.0003559388082201344, -1.9079084480031238e-05]",-12.34636856435217,-1.1223971422138337,11,0.0114381353948624,9.17964035728616,0.8057243215072327,2.7948175118271763,0.0268402099609375,-1.5356520488155692,-1.4214173555374146,14315_headwear_scope,14315,supported,natural,False
L0H3Q257S256,0,3,257,256,0.94140625,0.3167335987091064,0.3346352577209472,0.8389962911605835,sequence_margin,0.8389962911605835,signed_gradient,1.0,cut,6.33342170715332,-0.0842306996620154,-6.417652406815336,19079,"[19079, 264]",6.375,0.0593109130859375,same_prefix_fp32_head_float64_log_softmax,0.0391585736007654,"[-0.0842306996620154, -1.4127155370852988, -0.4356221573926484, -0.08693010002902378, -0.03887938409202754, -0.0005838036896572955, -0.0002197893467332255, -0.4064076192348967, -0.3652958078830228, -0.37153349514432843]",-3.202418393559653,-0.3202418393559653,10,0.0090236676123946,"[-6.4176524068153356, -1.5048794127491856, -0.0001252614707391556, -0.2718222608161169, -1.057460391187883, -1.0401540753157006, -0.00021600344429378773, -0.035685658231780666, -7.862671741410359e-06, -0.0004609998243734469, -0.0010470605861385718]",-10.329511393113288,-0.939046490283026,11,-0.0592240645063988,7.127092999553635,0.6188046509270608,0.7936712924003144,0.0782413482666015,0.5168953089169568,0.8389962911605835,14315_headwear_scope,14315,supported,natural,False
L16H22Q262S260,16,22,262,260,0.42578125,14.610663414001465,1.0599358081817627,-0.8197564482688904,sequence_margin,0.8197564482688904,signed_gradient,1.0,cut,6.362056732177734,-0.0961402002330028,-6.458196932410737,19079,"[19079, 264]",6.375,0.0446376800537109,same_prefix_fp32_head_float64_log_softmax,9.937164383158849e-06,"[-0.09614020023300289, -1.5019225710471666, -0.32941081558976265, -0.081416772604254, -0.0374976927411534, -0.000501500333695809, -0.00023121233877790385, -0.3730851762949757, -0.3582265692790973, -0.38803945598947776]",-3.166471966451364,-0.3166471966451364,10,0.007627870366422,"[-6.458196932410737, -1.5282651428527452, -7.831592228151648e-05, -0.23931059810832253, -1.0939081499448806, -2.565293699367014, -0.00029507508967339436, -0.015917932770092392, -4.834115234186473e-06, -0.00032504807291630676, -1.6430936558785136e-05]",-11.901612159590456,-1.0819647417809504,11,-0.0326027089311384,8.735140193139092,0.765317545135814,2.3730834609613574,0.0496063232421875,-1.0911518846685002,-0.8197564482688904,14315_headwear_scope,14315,supported,natural,False
L19H2Q468S467,19,2,468,467,0.6640625,13.088233947753906,1.466764211654663,0.8281606435775757,sequence_margin,0.8281606435775757,signed_gradient,1.0,cut,5.490131378173828,-0.0925554204957549,-5.582686798669583,19079,"[19079, 264]",5.5,0.061685562133789,same_prefix_fp32_head_float64_log_softmax,0.0011807254966059,"[-0.09255542049575496, -1.4827741724800003, -0.3421569406628493, -0.08420442115906417, -0.03783975561844297, -0.000527512191877029, -0.00022700868996072788, -0.3532750702959059, -0.3467892979912752, -0.36257190111177473]",-3.1029215006969046,-0.3102921500696904,10,0.0060856578915965,"[-5.582686798669583, -1.4901394498358609, -7.314469332800397e-05, -0.23831418931300527, -1.042376400295151, -1.4491385470227405, -0.0002587310576215834, -0.014561614211568723, -4.704760147656921e-06, -0.00031434939267504993, -1.7161907873968346e-05]",-9.817885091159557,-0.8925350082872323,11,0.0043420114487275,6.71496359046265,0.5822428582175418,1.2248322122888222,0.9215316772460938,0.9290247180079412,0.8281606435775757,14315_headwear_scope,14315,supported,natural,False
L12H12Q468S468,12,12,468,468,0.8046875,10.567468643188477,1.699389100074768,-0.7306298613548279,sequence_margin,0.7306298613548279,signed_gradient,1.0,cut,6.310079574584961,-0.0656010156668663,-6.375680590251827,19079,"[19079, 264]",6.25,0.0496501922607421,same_prefix_fp32_head_float64_log_softmax,0.0085095993241789,"[-0.06560101566686632, -1.4526907065511687, -0.33670794852481284, -0.08155663235771567, -0.03631943117452622, -0.0005082797587897007, -0.00022492668394897433, -0.3587926782784809, -0.36203200098460087, -0.37389182068711135]",-3.068325440668022,-0.3068325440668021,10,0.0007967035167495,"[-6.375680590251827, -1.6838177838323496, -7.388215712118617e-05, -0.23981904522931283, -1.0252490654818143, -1.4100579625897565, -0.0002688185731066872, -0.01638168442962568, -5.09657446251311e-06, -0.00034237533449859095, -2.0170933330691018e-05]",-10.751716475387203,-0.9774287704897456,11,0.0473969512133072,7.683391034719182,0.6705962264229436,1.373311460134221,0.1015834808349609,-0.03940272624859,-0.7306298613548279,14315_headwear_scope,14315,supported,natural,False
L31H18Q468S468,31,18,468,468,0.55859375,13.86378288269043,1.910705327987671,0.7083052396774292,sequence_margin,0.7083052396774292,signed_gradient,1.0,cut,5.64227294921875,-0.0991791669799675,-5.741452116198717,19079,"[19079, 264]",5.75,0.0625190734863281,same_prefix_fp32_head_float64_log_softmax,0.0006324923869975,"[-0.0991791669799675, -1.4842194823195118, -0.35095965253083433, -0.08243130999712582, -0.037707757357855996, -0.0005004610800752342, -0.00022163679897500876, -0.35311505238495844, -0.36460202336255126, -0.3692585039993486]",-3.1421950468112043,-0.3142195046811204,10,0.0123725050567044,"[-5.741452116198717, -1.5301174703045473, -7.991174745279683e-05, -0.24045295960947569, -1.0724729809681826, -1.416388024135908, -0.00025815907723917935, -0.015227816886957488, -4.707999232067685e-06, -0.00032143500957532536, -1.7667143337439322e-05]",-10.016793249080624,-0.9106175680982384,11,-0.0086710735891513,6.874598202269418,0.596398063417118,1.232325253050668,0.7693901062011719,0.7693901062011737,0.7083052396774292,14315_headwear_scope,14315,supported,natural,False
L0H6Q467S466,0,6,467,466,0.86328125,0.5548059940338135,0.4351382851600647,-0.5051692724227905,sequence_margin,0.5051692724227905,signed_gradient,1.0,cut,6.906101226806641,-0.078607972974027,-6.984709199780668,19079,"[19079, 264]",6.875,0.0411109924316406,same_prefix_fp32_head_float64_log_softmax,0.0019074936393036,"[-0.07860797297402707, -1.3879127642453042, -0.3775378579481783, -0.07726354330157836, -0.04600453280136835, -0.0005624131607665025, -0.00020066944508227206, -0.41883814690340954, -0.37574483056733377, -0.4014236597512129]",-3.164096391098261,-0.3164096391098261,10,-0.0015557545375257,"[-6.984709199780668, -1.7873599074458382, -9.560747973877633e-05, -0.22889885920470127, -1.0475657759064072, -1.3871518819065771, -0.00030521186321516314, -0.01815396772373552, -5.0955483760860356e-06, -0.0003634540453140927, -1.8401518704163855e-05]",-11.454627362423276,-1.0413297602202978,11,0.0562249322188765,8.290530971325015,0.7249201211104717,1.3844297445183749,-0.4944381713867187,-0.646542662854424,-0.5051692724227905,14315_headwear_scope,14315,supported,natural,False
L20H15Q467S377,20,15,467,377,0.1142578125,22.39099884033203,0.2989082932472229,-0.0044077052734792,sequence_margin,0.0044077052734792,unselected_candidate_control,1.0,cut,6.341283798217773,-0.0990899032014393,-6.440373701419213,19079,"[19079, 264]",6.25,0.0486488342285156,same_prefix_fp32_head_float64_log_softmax,6.41177842870017e-05,"[-0.09908990320143939, -1.4827330720137613, -0.3444771208510984, -0.08200135878432296, -0.03640583015356905, -0.0005051333107723221, -0.00021898710028504302, -0.35677959800946246, -0.35193863072305737, -0.3647625493241278]",-3.118912183471896,-0.3118912183471896,10,0.0104756538687084,"[-6.440373701419213, -1.5426363964661916, -7.803553599667555e-05, -0.23831298250878094, -1.0629567701723386, -1.408562981378995, -0.0002690145230566377, -0.015114800352947875, -4.958216405196387e-06, -0.00033248928068320215, -1.656911142748965e-05]",-10.708658698966032,-0.9735144271787304,11,-0.0104127088524474,7.589746515494138,0.6616232088315407,1.2484627172763645,0.0703792572021484,0.0542417929764535,-0.0044077052734792,14315_headwear_scope,14315,supported,natural,False
L13H23Q468S403,13,23,468,403,0.020751953125,9.935993194580078,0.0463232174515724,-0.0140236821025609,sequence_margin,0.0140236821025609,unselected_candidate_control,1.0,cut,6.432199478149414,-0.0946468523348277,-6.526846330484242,19079,"[19079, 264]",6.5,0.0529918670654296,same_prefix_fp32_head_float64_log_softmax,7.955645399054649e-06,"[-0.09464685233482778, -1.5004439741728075, -0.34049988268583253, -0.08093543225324493, -0.03784912202889395, -0.0005051403487971324, -0.0002177968745092137, -0.3572268955091804, -0.3515254110183428, -0.3734944192313026]",-3.137344926457739,-0.3137344926457739,10,0.0043585529841406,"[-6.526846330484242, -1.5071737284250475, -7.619720658392282e-05, -0.24400885306307482, -1.0966056800932318, -1.3914298167081656, -0.00026268504804865525, -0.016411302965504367, -4.945060215810996e-06, -0.0003435000349438078, -1.865642269958913e-05]",-10.78318169551176,-0.9802892450465236,11,0.0827757537912656,7.64583676905402,0.6665547524007497,1.2136372909046056,-0.0205364227294921,-0.0018484605834281,-0.0140236821025609,14315_headwear_scope,14315,supported,natural,False
