early,late,site,metric,full,cut,restored,restoration_gain,sham_delta,deletion_support,case_id,source_id,side,panel,restore_exceeds_own_sham
L14H26Q261S260,L17H18Q468S467,message,sequence_margin,7.643988308470591,9.17964035728616,9.197290521267467,0.0176501639813064,0.0504656329805088,-1.5356520488155692,14315_headwear_scope,14315,supported,natural,False
L14H26Q261S260,L17H18Q468S467,mlp,sequence_margin,7.643988308470591,9.17964035728616,9.175809325560031,-0.0038310317261291,0.0300664753031387,-1.5356520488155692,14315_headwear_scope,14315,supported,natural,False
L0H3Q257S256,L17H18Q468S467,message,sequence_margin,7.643988308470591,7.127092999553635,6.964589108277235,-0.1625038912763994,0.0504656329805088,0.5168953089169568,14315_headwear_scope,14315,supported,natural,True
L0H3Q257S256,L17H18Q468S467,mlp,sequence_margin,7.643988308470591,7.127092999553635,7.142012299257791,0.0149192997041565,0.0300664753031387,0.5168953089169568,14315_headwear_scope,14315,supported,natural,False
L14H26Q261S260,L16H22Q262S260,message,sequence_margin,7.643988308470591,9.17964035728616,9.01991216498572,-0.1597281923004399,-0.0233673561083609,-1.5356520488155692,14315_headwear_scope,14315,supported,natural,True
L14H26Q261S260,L16H22Q262S260,mlp,sequence_margin,7.643988308470591,9.17964035728616,9.157362767387628,-0.0222775898985325,-0.0071274724846563,-1.5356520488155692,14315_headwear_scope,14315,supported,natural,False
L0H3Q257S256,L14H26Q261S260,message,sequence_margin,7.643988308470591,7.127092999553635,7.148728586799238,0.0216355872456031,-0.0226786169874309,0.5168953089169568,14315_headwear_scope,14315,supported,natural,False
L0H3Q257S256,L14H26Q261S260,mlp,sequence_margin,7.643988308470591,7.127092999553635,6.948168990026433,-0.1789240095272015,0.0646914565406797,0.5168953089169568,14315_headwear_scope,14315,supported,natural,True
L12H12Q469S469,L31H14Q469S469,message,sequence_margin,-0.1300597375799599,0.3866040706741378,0.4008996486770675,0.0142955780029296,0.0,-0.5166638082540977,14315_headwear_scope,14315,supported,parallel_singular,False
L12H12Q469S469,L31H14Q469S469,mlp,sequence_margin,-0.1300597375799599,0.3866040706741378,1.1650216579544113,0.7784175872802734,0.0,-0.5166638082540977,14315_headwear_scope,14315,supported,parallel_singular,True
L12H12Q469S469,L16H30Q469S469,message,sequence_margin,-0.1300597375799599,0.3866040706741378,0.823573117567654,0.4369690468935161,-0.0048421221489567,-0.5166638082540977,14315_headwear_scope,14315,supported,parallel_singular,True
L12H12Q469S469,L16H30Q469S469,mlp,sequence_margin,-0.1300597375799599,0.3866040706741378,0.4354051807242243,0.0488011100500864,0.0737037926285797,-0.5166638082540977,14315_headwear_scope,14315,supported,parallel_singular,False
L6H12Q468S459,L21H7Q468S467,message,sequence_margin,-4.697483304481864,-5.594610400744431,-5.581192430254854,0.0134179704895771,-0.0024230049462223,0.897127096262567,14315_headwear_scope,14315,unsupported,natural,False
L6H12Q468S459,L21H7Q468S467,mlp,sequence_margin,-4.697483304481864,-5.594610400744431,-5.5322637791848885,0.0623466215595422,-0.0029454506090331,0.897127096262567,14315_headwear_scope,14315,unsupported,natural,True
L21H7Q468S467,L31H14Q468S468,message,sequence_margin,-4.697483304481864,-3.9487136075345983,-3.9084819028226834,0.0402317047119149,0.0,-0.7487696969472655,14315_headwear_scope,14315,unsupported,natural,False
L21H7Q468S467,L31H14Q468S468,mlp,sequence_margin,-4.697483304481864,-3.9487136075345983,-3.959189719900321,-0.0104761123657226,0.0,-0.7487696969472655,14315_headwear_scope,14315,unsupported,natural,False
L6H12Q468S459,L31H14Q468S468,message,sequence_margin,-4.697483304481864,-5.594610400744431,-5.638575740405075,-0.0439653396606445,0.0,0.897127096262567,14315_headwear_scope,14315,unsupported,natural,False
