layer,head,selection,unit,receiver,source_group,dose,full,cut,support,sham_error,numeric_ok,readout,control,case_id,source_id,side,phase,position,seed
18,22,paired_gradient,L18H22_evidence,468,evidence,0.25,7.643988308470591,7.797147129522411,-0.1531588210518197,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_evidence,468,evidence,1.0,7.643988308470591,8.046711764520714,-0.402723456050122,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_inapplicable_source,468,inapplicable_source,0.25,7.643988308470591,7.549716351018473,0.0942719574521184,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_inapplicable_source,468,inapplicable_source,1.0,7.643988308470591,7.404115111520743,0.2398731969498486,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_history,468,history,0.25,7.643988308470591,7.61363112214276,0.0303571863278317,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_history,468,history,1.0,7.643988308470591,7.561817898624855,0.0821704098457365,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_query_self,468,query_self,0.25,7.643988308470591,7.604382337148765,0.0396059713218264,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_query_self,468,query_self,1.0,7.643988308470591,7.715373981515992,-0.0713856730454001,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_prior_history,468,prior_history,0.25,7.643988308470591,7.659564404302418,-0.0155760958318262,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_prior_history,468,prior_history,1.0,7.643988308470591,7.592047881025463,0.0519404274451282,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_head_total,468,head_total,0.25,7.643988308470591,7.74089793172161,-0.096909623251018,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_head_total,468,head_total,1.0,7.643988308470591,7.588838953202392,0.0551493552681989,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_head_total,468,head_total,1.0,7.643988308470591,8.136448546705278,-0.4924602382346865,0.0,True,sequence_margin,equal_norm_random,14315_headwear_scope,14315,supported,onset,35,1
31,14,paired_gradient,L31H14_evidence,468,evidence,0.25,7.643988308470591,7.643988308470591,0.0,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
31,14,paired_gradient,L31H14_evidence,468,evidence,1.0,7.643988308470591,7.639448818724498,0.0045394897460937,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
