left,right,relation,dose,left_support,right_support,joint_support,interaction,full,without_left,without_right,without_both,left_conditional,right_conditional,sham_error,numeric_ok,readout,case_id,source_id,side,phase,position,seed,opposed_finite_effects,left_direction_changes,right_direction_changes,nonadditive_effect,small_singles_large_joint
L18H22_head_total,L31H14_head_total,different_heads,0.25,-0.096909623251018,0.0269012451171892,-0.0289469767666412,-0.0410614013671875,7.643988308470591,7.74089793172161,7.617087063353402,7.672935285237233,-0.0558482218838305,0.0679626464843767,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L18H22_head_total,L31H14_head_total,different_heads,1.0,0.0551493552681989,1.1280117034912092,1.3019106772896851,-0.1187496185302769,7.643988308470591,7.588838953202392,6.515976604979382,6.342077631180906,0.1738989737984759,1.2467613220214862,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L18H22_head_total,L17H27_head_total,different_heads,0.25,-0.096909623251018,0.3554653014382349,0.2590644817775374,-0.0005088035903204,7.643988308470591,7.74089793172161,7.288523007032357,7.384923826693054,-0.0964008196606975,0.3559741050285554,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,True,False,False,False,False
L18H22_head_total,L17H27_head_total,different_heads,1.0,0.0551493552681989,1.1409283572785132,1.1995372331975602,-0.003459520650848,7.643988308470591,7.588838953202392,6.503059951192078,6.444451075273031,0.058608875919047,1.1443878779293613,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L18H22_head_total,L18H20_head_total,different_heads,0.25,-0.096909623251018,0.0162514201780128,0.0718502948639514,-0.1525084979369566,7.643988308470591,7.74089793172161,7.627736888292579,7.57213801360664,0.0555988746859386,0.1687599181149695,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,True,False,True,False
L18H22_head_total,L18H20_head_total,different_heads,1.0,0.0551493552681989,0.4061772893072746,-0.3907315932673167,0.8520582378427903,7.643988308470591,7.588838953202392,7.237811019163317,8.034719901737908,-0.7969088825745914,-0.4458809485355157,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,True,True,True,False
L31H14_head_total,L17H27_head_total,different_heads,0.25,0.0269012451171892,0.3554653014382349,0.3487972106179224,0.0335693359375017,7.643988308470591,7.617087063353402,7.288523007032357,7.295191097852669,-0.0066680908203125,0.3218959655007332,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L31H14_head_total,L17H27_head_total,different_heads,1.0,1.1280117034912092,1.1409283572785132,2.196873753701855,0.0720663070678675,7.643988308470591,6.515976604979382,6.503059951192078,5.447114554768737,1.0559453964233416,1.0688620502106456,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L31H14_head_total,L18H20_head_total,different_heads,0.25,0.0269012451171892,0.0162514201780128,0.0230530254026213,0.0200996398925807,7.643988308470591,7.617087063353402,7.627736888292579,7.62093528306797,0.0068016052246084,-0.0038482197145679,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L31H14_head_total,L18H20_head_total,different_heads,1.0,1.1280117034912092,0.4061772893072746,1.381686932861963,0.1525020599365207,7.643988308470591,6.515976604979382,7.237811019163317,6.2623013756086285,0.9755096435546884,0.2536752293707538,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L17H27_head_total,L18H20_head_total,different_heads,0.25,0.3554653014382349,0.0162514201780128,0.3182060140401486,0.0535107075760992,7.643988308470591,7.288523007032357,7.627736888292579,7.325782294430443,0.3019545938621357,-0.0372592873980863,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L17H27_head_total,L18H20_head_total,different_heads,1.0,1.1409283572785132,0.4061772893072746,1.2427298384567278,0.3043758081290599,7.643988308470591,6.503059951192078,7.237811019163317,6.401258470013864,0.8365525491494532,0.1018014811782146,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L18H22_evidence,L18H22_history,evidence_history,0.25,-0.1531588210518197,0.0303571863278317,-0.0483146060318713,-0.0744870286921166,7.643988308470591,7.797147129522411,7.61363112214276,7.692302914502463,-0.0786717923597031,0.1048442150199484,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L18H22_evidence,L18H22_history,evidence_history,1.0,-0.402723456050122,0.0821704098457365,-0.34658918938237,0.0260361431779845,7.643988308470591,8.046711764520714,7.561817898624855,7.990577497852962,-0.4287595992281066,0.056134266667752,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,True,False,False,False,False
L31H14_evidence,L31H14_history,evidence_history,0.25,0.0,0.0294895172119158,0.0294895172119158,0.0,7.643988308470591,7.643988308470591,7.614498791258676,7.614498791258676,0.0,0.0294895172119158,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L31H14_evidence,L31H14_history,evidence_history,1.0,0.0045394897460937,1.129490852355957,1.129878044128418,0.0041522979736328,7.643988308470591,7.639448818724498,6.5144974561146345,6.5141102643421736,0.0003871917724609,1.1253385543823242,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L17H27_evidence,L17H27_history,evidence_history,0.25,-0.0392414238015463,-0.107003738529837,-0.0472303218951823,-0.099014840436201,7.643988308470591,7.683229732272138,7.7509920470004285,7.691218630365774,0.0597734166346546,-0.007988898093636,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L17H27_evidence,L17H27_history,evidence_history,1.0,0.176701274482208,0.0695165153134897,0.2255167353750398,0.020701054420658,7.643988308470591,7.467287033988383,7.574471793157102,7.418471573095552,0.15600022006155,0.0488154608928317,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L18H20_evidence,L18H20_history,evidence_history,0.25,0.1227464299005287,0.0697368096698056,0.1126667961458505,0.0798164434244839,7.643988308470591,7.521241878570063,7.574251498800786,7.531321512324741,0.0429299864760448,-0.0100796337546782,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L18H20_evidence,L18H20_history,evidence_history,1.0,0.4454071546185822,0.0687260357376784,0.3958565790820278,0.1182766112742328,7.643988308470591,7.198581153852009,7.575262272732913,7.248131729388564,0.3271305433443494,-0.0495505755365544,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L18H22_evidence,L18H22_inapplicable_source,applicable_inapplicable,0.25,-0.1531588210518197,0.0942719574521184,0.0224671849928626,-0.0813540485925639,7.643988308470591,7.797147129522411,7.549716351018473,7.621521123477729,-0.0718047724592558,0.1756260060446823,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,True,False,False,True,False
L18H22_evidence,L18H22_inapplicable_source,applicable_inapplicable,1.0,-0.402723456050122,0.2398731969498486,-0.0576571737662341,-0.1051930853340392,7.643988308470591,8.046711764520714,7.404115111520743,7.701645482236826,-0.2975303707160828,0.3450662822838879,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,True,False,False,True,False
L31H14_evidence,L31H14_inapplicable_source,applicable_inapplicable,0.25,0.0,0.0,0.0,0.0,7.643988308470591,7.643988308470591,7.643988308470591,7.643988308470591,0.0,0.0,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L31H14_evidence,L31H14_inapplicable_source,applicable_inapplicable,1.0,0.0045394897460937,0.0,0.0045394897460937,0.0,7.643988308470591,7.639448818724498,7.643988308470591,7.639448818724498,0.0045394897460937,0.0,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L17H27_evidence,L17H27_inapplicable_source,applicable_inapplicable,0.25,-0.0392414238015463,0.0375996472295829,0.0465967807914751,-0.0482385573634385,7.643988308470591,7.683229732272138,7.606388661241008,7.597391527679116,0.0089971335618921,0.0858382045930215,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,False,False
L17H27_evidence,L17H27_inapplicable_source,applicable_inapplicable,1.0,0.176701274482208,0.2182495085351217,0.2487138810747922,0.1462369019425375,7.643988308470591,7.467287033988383,7.42573879993547,7.395274427395799,0.0304643725396704,0.0720126065925841,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,False,False,False,True,False
L18H20_evidence,L18H20_inapplicable_source,applicable_inapplicable,0.25,0.1227464299005287,-0.0598719032087053,0.1311696242057305,-0.0682950975139071,7.643988308470591,7.521241878570063,7.703860211679297,7.512818684264861,0.1910415274144359,0.0084231943052017,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,True,False,False,True,False
L18H20_evidence,L18H20_inapplicable_source,applicable_inapplicable,1.0,0.4454071546185822,-0.2965959743170234,0.0521319504040667,0.0966792298974921,7.643988308470591,7.198581153852009,7.940584282787615,7.591856358066525,0.3487279247210901,-0.3932752042145155,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,True,False,False,True,False
L18H22_head_total,L31H14_head_total,different_heads,0.25,0.1096162367639967,-0.6389713287353516,-0.5082359742345384,-0.0211191177368164,-4.697483304481864,-4.807099541245861,-4.058511975746512,-4.189247330247325,0.1307353545008132,-0.6178522109985352,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,True,False,False,False,False
L18H22_head_total,L31H14_head_total,different_heads,1.0,0.6436043423971949,-1.868490219116212,-1.1717223482766332,-0.0531635284423837,-4.697483304481864,-5.341087646879059,-2.828993085365652,-3.5257609562052306,0.6967678708395786,-1.815326690673828,0.0,True,sequence_margin,14315_headwear_scope,14315,unsupported,onset,35,2,True,False,False,True,False
