early,late,site,full,removed,restored,deletion_support,restoration_gain,sham_error,numeric_ok,readout,case_id,source_id,side,phase,position,seed,distance_before,distance_after,overshoots_full
L18H22_head_total,L31H14_head_total,message,-0.0004778623502353,-0.0005864510689497,-0.0005927655673278,0.0001085887187144,-6.314498378125872e-06,0.0,True,observed_logp,14315_headwear_scope,14315,supported,back_half,40,1,0.00010858871871440002,0.00011490321709249998,False
L18H22_head_total,L31H14_head_total,mlp,-0.0004778623502353,-0.0005864510689497,-0.0005490815478512,0.0001085887187144,3.7369521098558605e-05,0.0,True,observed_logp,14315_headwear_scope,14315,supported,back_half,40,1,0.00010858871871440002,7.121919761590007e-05,False
L17H27_head_total,L18H22_head_total,message,-0.0004778623502353,-0.0005634767696492,-0.0005774231755896,8.561441941390093e-05,-1.3946405940426273e-05,0.0,True,observed_logp,14315_headwear_scope,14315,supported,back_half,40,1,8.561441941390001e-05,9.956082535430004e-05,False
L17H27_head_total,L18H22_head_total,mlp,-0.0004778623502353,-0.0005634767696492,-0.0005855441551699,8.561441941390093e-05,-2.2067385520766207e-05,0.0,True,observed_logp,14315_headwear_scope,14315,supported,back_half,40,1,8.561441941390001e-05,0.00010768180493459997,False
L18H22_head_total,L31H14_head_total,message,-0.2800448270541008,-0.3008697752708276,-0.3054033793306334,0.0208249482167268,-0.0045336040598057,0.0,True,observed_logp,14315_headwear_scope,14315,supported,before_claim,34,1,0.020824948216726813,0.02535855227653261,False
L18H22_head_total,L31H14_head_total,mlp,-0.2800448270541008,-0.3008697752708276,-0.3302847249522096,0.0208249482167268,-0.0294149496813819,0.0,True,observed_logp,14315_headwear_scope,14315,supported,before_claim,34,1,0.020824948216726813,0.05023989789810884,False
L17H27_head_total,L18H22_head_total,message,-0.2800448270541008,-0.3021042962564425,-0.3044589142665298,0.0220594692023417,-0.0023546180100872,0.0,True,observed_logp,14315_headwear_scope,14315,supported,before_claim,34,1,0.022059469202341697,0.024414087212429048,False
L17H27_head_total,L18H22_head_total,mlp,-0.2800448270541008,-0.3021042962564425,-0.2872406547371892,0.0220594692023417,0.0148636415192533,0.0,True,observed_logp,14315_headwear_scope,14315,supported,before_claim,34,1,0.022059469202341697,0.007195827683088407,False
L18H22_head_total,L31H14_head_total,message,7.643988308470591,7.588838953202392,7.620493311112549,0.0551493552681989,0.0316543579101562,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,0.055149355268198974,0.023494997358041836,False
L18H22_head_total,L31H14_head_total,mlp,7.643988308470591,7.588838953202392,8.067085642045166,0.0551493552681989,0.4782466888427734,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,0.055149355268198974,0.42309733357457535,True
L17H27_head_total,L18H22_head_total,message,7.643988308470591,6.503059951192078,6.903925775155805,1.1409283572785132,0.400865823963727,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,1.1409283572785123,0.7400625333147852,False
L17H27_head_total,L18H22_head_total,mlp,7.643988308470591,6.503059951192078,6.746910568051402,1.1409283572785132,0.2438506168593237,0.0,True,sequence_margin,14315_headwear_scope,14315,supported,onset,35,1,1.1409283572785123,0.8970777404191885,False
L18H22_head_total,L31H14_head_total,message,-0.0598411885549153,-0.0848088620894366,-0.0873538383152669,0.0249676735345212,-0.0025449762258302,0.0,True,observed_logp,14315_headwear_scope,14315,supported,post_claim,45,1,0.024967673534521298,0.0275126497603516,False
L18H22_head_total,L31H14_head_total,mlp,-0.0598411885549153,-0.0848088620894366,-0.0722990960852373,0.0249676735345212,0.0125097660041992,0.0,True,observed_logp,14315_headwear_scope,14315,supported,post_claim,45,1,0.024967673534521298,0.012457907530321999,False
L17H27_head_total,L18H22_head_total,message,-0.0598411885549153,-0.0661847611908939,-0.0667852776378995,0.0063435726359785,-0.0006005164470055,0.0,True,observed_logp,14315_headwear_scope,14315,supported,post_claim,45,1,0.006343572635978609,0.006944089082984203,False
