threshold,nodes,absent_positions,unknown_positions,physical_heads,id,source_id,task,generator,split,annotation_origin
0.05,10,0,26,1024,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.1,9,0,27,1024,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.2,6,0,30,1024,14315_headwear_scope__supported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.05,15,0,21,1024,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.1,10,0,26,1024,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.2,5,0,31,1024,14315_headwear_scope__unsupported,14315,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.05,34,0,93,1024,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.1,29,0,98,1024,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.2,17,0,110,1024,14375_onion_stage__supported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.05,38,0,89,1024,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.1,31,0,96,1024,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
0.2,19,0,108,1024,14375_onion_stage__unsupported,14375,QA,native_llama31_8b,resampled_review,reviewed_local_claim_only_prefix_history_unreviewed
