target,query,layer,head,source,attention_now,attention_before,source_gain,source_gain_low,source_token_id,source_text,source_context,region,source_is_prior_event,same_token_as_node,reviewed_roles
11,444,6,25,434,0.30859375,0.1246744791666666,0.1839192708333333,0.1045227050781249,644,In,"<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ⟦In⟧ ca clothes consisted of woven",history,False,False,outside_reviewed_claim_sources
28,461,6,29,359,0.3359375,0.0,0.3359375,0.1716715494791666,3160, length," Skirts were usually full ⟦ length⟧ , which covered up to",prompt,False,False,outside_reviewed_claim_sources
28,461,6,29,340,0.060302734375,0.0,0.060302734375,-0.1039632161458333,1317, long, tunic were a bit ⟦ long⟧ . It reached up to,prompt,False,False,outside_reviewed_claim_sources
28,461,6,29,358,0.0595703125,0.0,0.0595703125,-0.1046956380208333,2539, full,". Skirts were usually ⟦ full⟧  length, which covered up",prompt,False,True,outside_reviewed_claim_sources
18,451,7,10,434,0.1318359375,0.0,0.1318359375,-0.0321858723958333,644,In,"<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ⟦In⟧ ca clothes consisted of woven",history,False,False,outside_reviewed_claim_sources
18,451,7,10,426,0.08447265625,0.0,0.08447265625,-0.0795491536458333,10246,".""
"," answer based on given passages ⟦.""
⟧ output:<|eot_id|><|start_header_id|>assistant",prompt,False,False,outside_reviewed_claim_sources
18,451,7,10,437,0.052734375,0.0,0.052734375,-0.1112874348958333,44660, consisted,"<|end_header_id|>

Inca clothes ⟦ consisted⟧  of woven or knitted",history,False,False,outside_reviewed_claim_sources
18,451,7,10,433,0.044189453125,0.0,0.044189453125,-0.1198323567708333,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ Inca clothes consisted of",prompt,False,False,outside_reviewed_claim_sources
8,441,9,9,433,0.310546875,0.0151774088541666,0.2953694661458333,0.267822265625,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ Inca clothes consisted of",prompt,False,False,outside_reviewed_claim_sources
18,451,9,9,434,0.1494140625,0.0,0.1494140625,0.0338541666666666,644,In,"<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ⟦In⟧ ca clothes consisted of woven",history,False,False,outside_reviewed_claim_sources
18,451,9,9,433,0.109375,0.0,0.109375,-0.0061848958333333,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ Inca clothes consisted of",prompt,False,False,outside_reviewed_claim_sources
18,451,9,9,441,0.072265625,0.0,0.072265625,-0.0432942708333333,1168, kn," clothes consisted of woven or ⟦ kn⟧ itted textiles, held together",history,True,False,outside_reviewed_claim_sources
18,451,9,9,436,0.06396484375,0.0,0.06396484375,-0.0515950520833333,15447, clothes,"assistant<|end_header_id|>

Inca ⟦ clothes⟧  consisted of woven or kn",history,False,False,outside_reviewed_claim_sources
