target,query,layer,head,source,attention_now,attention_before,source_gain,source_gain_low,source_token_id,source_text,source_context,region,source_is_prior_event,same_token_as_node,reviewed_roles
22,455,6,13,442,0.150390625,0.0,0.150390625,0.0581258138020833,1168, kn," were made of woven or ⟦ kn⟧ itted textiles, often with",history,True,False,outside_reviewed_claim_sources
22,455,6,13,445,0.134765625,0.0,0.134765625,0.0425008138020833,11,","," woven or knitted textiles ⟦,⟧  often with rich colors and",history,True,False,outside_reviewed_claim_sources
22,455,6,13,437,0.1171875,0.0,0.1171875,0.0249226888020833,1051, were,"<|end_header_id|>

Inca clothes ⟦ were⟧  made of woven or kn",history,False,False,outside_reviewed_claim_sources
22,455,6,13,434,0.0791015625,0.0,0.0791015625,-0.0131632486979166,644,In,"<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ⟦In⟧ ca clothes were made of",history,False,False,outside_reviewed_claim_sources
12,445,6,25,434,0.31640625,0.12939453125,0.18701171875,0.0911865234375,644,In,"<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ⟦In⟧ ca clothes were made of",history,False,False,outside_reviewed_claim_sources
25,458,7,2,445,0.076171875,0.0097249348958333,0.0664469401041666,-0.0038808186848958,11,","," woven or knitted textiles ⟦,⟧  often with rich colors and",history,True,False,outside_reviewed_claim_sources
25,458,7,2,433,0.061767578125,0.0,0.061767578125,-0.0085601806640625,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ Inca clothes were made",prompt,False,False,outside_reviewed_claim_sources
25,458,7,2,434,0.060546875,0.0,0.060546875,-0.0097808837890625,644,In,"<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ⟦In⟧ ca clothes were made of",history,False,False,outside_reviewed_claim_sources
25,458,7,2,437,0.0311279296875,0.0097249348958333,0.0214029947916666,-0.0489247639973958,1051, were,"<|end_header_id|>

Inca clothes ⟦ were⟧  made of woven or kn",history,False,False,outside_reviewed_claim_sources
22,455,7,10,434,0.1552734375,0.0,0.1552734375,-0.0286051432291666,644,In,"<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ⟦In⟧ ca clothes were made of",history,False,False,outside_reviewed_claim_sources
22,455,7,10,437,0.130859375,0.0,0.130859375,-0.0530192057291666,1051, were,"<|end_header_id|>

Inca clothes ⟦ were⟧  made of woven or kn",history,False,False,outside_reviewed_claim_sources
22,455,7,10,436,0.13671875,0.0107421875,0.1259765625,-0.0579020182291666,15447, clothes,"assistant<|end_header_id|>

Inca ⟦ clothes⟧  were made of woven or",history,False,False,outside_reviewed_claim_sources
22,455,7,10,442,0.04443359375,0.0,0.04443359375,-0.1394449869791666,1168, kn," were made of woven or ⟦ kn⟧ itted textiles, often with",history,True,False,outside_reviewed_claim_sources
26,459,7,27,437,0.111328125,0.0226236979166666,0.0887044270833333,0.0087331136067708,1051, were,"<|end_header_id|>

Inca clothes ⟦ were⟧  made of woven or kn",history,False,False,outside_reviewed_claim_sources
26,459,7,27,438,0.0673828125,0.0,0.0673828125,-0.0125885009765625,1903, made,"

Inca clothes were ⟦ made⟧  of woven or knitted",history,False,False,outside_reviewed_claim_sources
26,459,7,27,439,0.064453125,0.0031331380208333,0.0613199869791666,-0.0186513264973958,315, of,Inca clothes were made ⟦ of⟧  woven or knitted textiles,history,False,False,outside_reviewed_claim_sources
26,459,7,27,436,0.049072265625,0.0,0.049072265625,-0.0308990478515625,15447, clothes,"assistant<|end_header_id|>

Inca ⟦ clothes⟧  were made of woven or",history,False,False,outside_reviewed_claim_sources
22,455,8,13,442,0.31640625,0.0,0.31640625,0.2293701171875,1168, kn," were made of woven or ⟦ kn⟧ itted textiles, often with",history,True,False,outside_reviewed_claim_sources
22,455,8,13,445,0.154296875,0.0,0.154296875,0.0672607421875,11,","," woven or knitted textiles ⟦,⟧  often with rich colors and",history,True,False,outside_reviewed_claim_sources
22,455,8,13,435,0.060302734375,0.0,0.060302734375,-0.0267333984375,936,ca,"<|start_header_id|>assistant<|end_header_id|>

In ⟦ca⟧  clothes were made of woven",history,False,False,outside_reviewed_claim_sources
22,455,9,8,442,0.07666015625,0.0,0.07666015625,-0.0455118815104166,1168, kn," were made of woven or ⟦ kn⟧ itted textiles, often with",history,True,False,outside_reviewed_claim_sources
22,455,9,8,437,0.07568359375,0.0,0.07568359375,-0.0464884440104166,1051, were,"<|end_header_id|>

Inca clothes ⟦ were⟧  made of woven or kn",history,False,False,outside_reviewed_claim_sources
22,455,9,8,445,0.10400390625,0.03546142578125,0.06854248046875,-0.0536295572916666,11,","," woven or knitted textiles ⟦,⟧  often with rich colors and",history,True,False,outside_reviewed_claim_sources
22,455,9,8,434,0.051513671875,0.0,0.051513671875,-0.0706583658854166,644,In,"<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ⟦In⟧ ca clothes were made of",history,False,False,outside_reviewed_claim_sources
9,442,9,9,433,0.33203125,0.0194498697916666,0.3125813802083333,0.2608642578125,271,"

",":<|eot_id|><|start_header_id|>assistant<|end_header_id|> ⟦

⟧ Inca clothes were made",prompt,False,False,outside_reviewed_claim_sources
22,455,9,9,442,0.2021484375,0.0,0.2021484375,0.1298624674479166,1168, kn," were made of woven or ⟦ kn⟧ itted textiles, often with",history,True,False,outside_reviewed_claim_sources
22,455,9,9,437,0.11767578125,0.0,0.11767578125,0.0453898111979166,1051, were,"<|end_header_id|>

Inca clothes ⟦ were⟧  made of woven or kn",history,False,False,outside_reviewed_claim_sources
