case_id,source_id,side,metric,pool,rank,layer,head,receiver,source,slot,attention_mass,value_energy,message_norm,lookback_gain,target_flow,norm_flow,uniform_root_flow,source_region,source_text,receiver_text,causal_measurement
14315_headwear_scope,14315,supported,target_flow,original_pool,1,30,7,465,0,0,0.93359375,0.5148860216140747,0.892002284526825,0.0066919997334480286,0.0012149351097686045,0.0008240216640167991,2.590479978184655e-06,prompt,<|begin_of_text|>, added,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,original_pool,2,30,22,465,0,0,0.85546875,0.16639220714569092,0.3515961766242981,0.0005138330161571503,0.0011132669134683725,0.00032480059510710176,2.373703440231069e-06,prompt,<|begin_of_text|>, added,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,original_pool,3,30,23,465,0,0,0.73046875,0.16639220714569092,0.27379265427589417,0.017595455050468445,0.0009505977673917414,0.0002529265745858601,2.0268609112830286e-06,prompt,<|begin_of_text|>, added,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,original_pool,4,30,3,465,0,0,0.62890625,0.24403513967990875,0.1713729351758957,0.013274282217025757,0.0008184291361986349,0.00015831238656292335,1.7450514631100938e-06,prompt,<|begin_of_text|>, added,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,original_pool,5,30,4,467,0,0,0.921875,0.5148860216140747,0.690269410610199,0.025936797261238098,0.0007973520323493415,0.0005603146212826317,1.7001109431755667e-06,prompt,<|begin_of_text|>,aks,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,non_special,1,30,26,467,465,0,0.421875,21.840927124023438,1.8640295267105103,0.21023596823215485,0.000324228940281875,0.0004732675714279231,0.004434778052847108,history, added,aks,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,non_special,2,30,17,465,21,1,0.2158203125,37.978477478027344,1.440551519393921,0.00501936674118042,0.00027379573185820866,0.001035289929623021,5.991172350270453e-07,prompt, , added,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,non_special,3,30,18,465,437,0,0.158203125,21.456716537475586,0.7844526767730713,0.1014484167098999,0.00018303033570987793,0.00028638855309273616,0.0003330887888487848,history, consisted, added,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,non_special,4,30,17,467,21,0,0.216796875,37.978477478027344,1.4470698833465576,0.6320761442184448,0.00018279751537520243,0.0009138256441529222,3.9999579700578024e-07,prompt, ,aks,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,non_special,5,30,2,467,465,1,0.2216796875,22.792396545410156,1.1565738916397095,0.2739199101924896,0.00017037030363021812,0.0002936481939044467,0.002330311670325705,history, added,aks,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,non_special_far,1,30,17,465,21,1,0.2158203125,37.978477478027344,1.440551519393921,0.00501936674118042,0.00027379573185820866,0.001035289929623021,5.991172350270453e-07,prompt, , added,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,non_special_far,2,30,18,465,437,0,0.158203125,21.456716537475586,0.7844526767730713,0.1014484167098999,0.00018303033570987793,0.00028638855309273616,0.0003330887888487848,history, consisted, added,not_measured_for_this_ranking
14315_headwear_scope,14315,supported,target_flow,non_special_far,3,30,17,467,21,0,0.216796875,37.978477478027344,1.4470698833465576,0.6320761442184448,0.00018279751537520243,0.0009138256441529222,3.9999579700578024e-07,prompt, ,aks,not_measured_for_this_ranking
